User:;komputer
IndexName:;TimeSeriesOur
StartDate:;2015-01-15 14:54:10
CalculationTime:;00:00:27
TestCasesNumber:;5
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;1;0;100;10~10~1;no PCA;Day;Day;Day;0,00433915970995244
Jordan;1;0;100;10~10~1;no PCA;Day;Day;Day;0,00361523549881668
Elman;1;0;100;10~10~1;no PCA;Day;Day;Day;0,0300497745034563
MLP;2;0;100;10~10~1;no PCA;Day;Day;Day;0,00422461165748907
Jordan;2;0;100;10~10~1;no PCA;Day;Day;Day;0,00410770796875529
Elman;2;0;100;10~10~1;no PCA;Day;Day;Day;0,0319935214761811
MLP;3;0;100;10~10~1;no PCA;Day;Day;Day;0,00451471498073274
Jordan;3;0;100;10~10~1;no PCA;Day;Day;Day;0,00457508570799386
Elman;3;0;100;10~10~1;no PCA;Day;Day;Day;0,0454366461757973
MLP;1;0;100;30~30~1;no PCA;Day;Day;Day;0,00450331628766026
Jordan;1;0;100;30~30~1;no PCA;Day;Day;Day;0,00459238677161829
Elman;1;0;100;30~30~1;no PCA;Day;Day;Day;0,0651304637178784
MLP;2;0;100;30~30~1;no PCA;Day;Day;Day;0,00491265428195143
Jordan;2;0;100;30~30~1;no PCA;Day;Day;Day;0,00518109345177345
Elman;2;0;100;30~30~1;no PCA;Day;Day;Day;0,0748263801233977
MLP;3;0;100;30~30~1;no PCA;Day;Day;Day;0,0054477365807539
Jordan;3;0;100;30~30~1;no PCA;Day;Day;Day;0,00659437246667789
Elman;3;0;100;30~30~1;no PCA;Day;Day;Day;0,0649217910628297
MLP;1;0;100;60~60~1;no PCA;Day;Day;Day;0,00564294086494616
Jordan;1;0;100;60~60~1;no PCA;Day;Day;Day;0,00576211375628783
Elman;1;0;100;60~60~1;no PCA;Day;Day;Day;0,0777115045952211
MLP;2;0;100;60~60~1;no PCA;Day;Day;Day;0,00561589625896783
Jordan;2;0;100;60~60~1;no PCA;Day;Day;Day;0,00587651332863335
Elman;2;0;100;60~60~1;no PCA;Day;Day;Day;0,0793339908532891
MLP;3;0;100;60~60~1;no PCA;Day;Day;Day;0,00488991213020162
Jordan;3;0;100;60~60~1;no PCA;Day;Day;Day;0,00579199290141074
Elman;3;0;100;60~60~1;no PCA;Day;Day;Day;0,0845613364827859
MLP;1;0;100;100~1;no PCA;Day;Day;Day;0,00572428447214443
Jordan;1;0;100;100~1;no PCA;Day;Day;Day;0,00572128356780148
Elman;1;0;100;100~1;no PCA;Day;Day;Day;0,0728567773532187
MLP;2;0;100;100~1;no PCA;Day;Day;Day;0,00765901000456647
Jordan;2;0;100;100~1;no PCA;Day;Day;Day;0,00683227118570033
Elman;2;0;100;100~1;no PCA;Day;Day;Day;0,0896626901128366
MLP;3;0;100;100~1;no PCA;Day;Day;Day;0,00757098847395941
Jordan;3;0;100;100~1;no PCA;Day;Day;Day;0,00639345310127304
Elman;3;0;100;100~1;no PCA;Day;Day;Day;0,141722267660098
