User:;komputer
IndexName:;TimeSeriesOur
StartDate:;2015-01-15 15:23:35
CalculationTime:;00:01:52
TestCasesNumber:;5
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;1;0;100;5~1;no PCA;Day;Day;Day;0,00100716159226889
Jordan;1;0;100;5~1;no PCA;Day;Day;Day;0,000850502622823549
Elman;1;0;100;5~1;no PCA;Day;Day;Day;0,000952960777934503
MLP;1;0;100;10~1;no PCA;Day;Day;Day;0,000848929060346716
Jordan;1;0;100;10~1;no PCA;Day;Day;Day;0,000388006131272308
Elman;1;0;100;10~1;no PCA;Day;Day;Day;0,000331879139475821
MLP;1;0;100;20~1;no PCA;Day;Day;Day;0,000373538743751539
Jordan;1;0;100;20~1;no PCA;Day;Day;Day;0,000329421626424401
Elman;1;0;100;20~1;no PCA;Day;Day;Day;0,00012175991932961
MLP;1;0;100;30~1;no PCA;Day;Day;Day;0,000415431234844089
Jordan;1;0;100;30~1;no PCA;Day;Day;Day;0,000320003166802014
Elman;1;0;100;30~1;no PCA;Day;Day;Day;0,000122689065218432
MLP;1;0;100;5~5~1;no PCA;Day;Day;Day;2,47058124946482E-05
Jordan;1;0;100;5~5~1;no PCA;Day;Day;Day;0,00057023061580832
Elman;1;0;100;5~5~1;no PCA;Day;Day;Day;0,000495372847449075
MLP;1;0;100;20~20~1;no PCA;Day;Day;Day;1,44095033086367E-05
Jordan;1;0;100;20~20~1;no PCA;Day;Day;Day;1,95997878236603E-05
Elman;1;0;100;20~20~1;no PCA;Day;Day;Day;9,76940007667071E-05
