User:;Maciej
IndexName:;WIG20Closing
StartDate:;2015-01-27 08:39:32
CalculationTime:;03:59:14
TestCasesNumber:;2
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;0;1000;3~1;no PCA;Day;Day;Day;1032,11822454041;0,569767441860465;0,845930232558139;0,293604651162791;0,5;0,523578363384189
Elman;0,25;0;1000;3~1;no PCA;Day;Day;Day;1032,5773550916;0,593023255813953;0,517441860465116;0,668604651162791;0,5;0,51872399445215
Jordan;0,25;0;1000;3~1;no PCA;Day;Day;Day;1031,15688707658;0,597383720930233;0,709302325581395;0,48546511627907;0,5;0,527045769764216
MLP;0,5;0;1000;3~1;no PCA;Day;Day;Day;1016,55337134894;0,572674418604651;0,438953488372093;0,706395348837209;0,5;0,522884882108183
Elman;0,5;0;1000;3~1;no PCA;Day;Day;Day;1004,68217708064;0,563953488372093;0,34593023255814;0,781976744186047;0,5;0,500693481276006
Jordan;0,5;0;1000;3~1;no PCA;Day;Day;Day;1005,61409977171;0,575581395348837;0,363372093023256;0,787790697674419;0,5;0,510402219140083
MLP;0,75;0;1000;3~1;no PCA;Day;Day;Day;987,893782178304;0,565406976744186;0,354651162790698;0,776162790697674;0,5;0,511789181692094
Elman;0,75;0;1000;3~1;no PCA;Day;Day;Day;999,242741458348;0,561046511627907;0,340116279069767;0,781976744186047;0,5;0,504854368932039
Jordan;0,75;0;1000;3~1;no PCA;Day;Day;Day;999,363864586515;0,568313953488372;0,357558139534884;0,779069767441861;0,5;0,511095700416089
MLP;1;0;1000;3~1;no PCA;Day;Day;Day;997,472629735768;0,568313953488372;0,375;0,761627906976744;0,5;0,513869625520111
Elman;1;0;1000;3~1;no PCA;Day;Day;Day;1007,72156108572;0,561046511627907;0,348837209302326;0,773255813953488;0,5;0,505547850208044
Jordan;1;0;1000;3~1;no PCA;Day;Day;Day;993,909305442897;0,572674418604651;0,354651162790698;0,790697674418605;0,5;0,50624133148405
MLP;0,25;0,25;1000;3~1;no PCA;Day;Day;Day;1046,97008331298;0,5;0;1;0,5;0,488210818307906
Elman;0,25;0,25;1000;3~1;no PCA;Day;Day;Day;1037,28755261802;0,504360465116279;0,00872093023255814;1;0,5;0,502773925104022
Jordan;0,25;0,25;1000;3~1;no PCA;Day;Day;Day;1058,58872641081;0,5;0;1;0,5;0,496532593619972
MLP;0,5;0,25;1000;3~1;no PCA;Day;Day;Day;1018,54441979595;0,524709302325581;0,101744186046512;0,947674418604651;0,5;0,495839112343967
Elman;0,5;0,25;1000;3~1;no PCA;Day;Day;Day;999,1896827898;0,526162790697674;0,122093023255814;0,930232558139535;0,5;0,50624133148405
Jordan;0,5;0,25;1000;3~1;no PCA;Day;Day;Day;1022,89492133626;0,526162790697674;0,113372093023256;0,938953488372093;0,5;0,5
MLP;0,75;0,25;1000;3~1;no PCA;Day;Day;Day;1009,00389164036;0,549418604651163;0,186046511627907;0,912790697674419;0,5;0,50624133148405
Elman;0,75;0,25;1000;3~1;no PCA;Day;Day;Day;991,222034392489;0,540697674418605;0,188953488372093;0,892441860465116;0,5;0,515950069348128
Jordan;0,75;0,25;1000;3~1;no PCA;Day;Day;Day;1025,21262248131;0,545058139534884;0,174418604651163;0,915697674418605;0,5;0,507628294036061
MLP;1;0,25;1000;3~1;no PCA;Day;Day;Day;995,355542017113;0,546511627906977;0,232558139534884;0,86046511627907;0,5;0,515950069348128
Elman;1;0,25;1000;3~1;no PCA;Day;Day;Day;1003,74281296367;0,540697674418605;0,22093023255814;0,86046511627907;0,5;0,51872399445215
Jordan;1;0,25;1000;3~1;no PCA;Day;Day;Day;1004,9866577094;0,549418604651163;0,229651162790698;0,869186046511628;0,5;0,511095700416089
MLP;0,25;0,5;1000;3~1;no PCA;Day;Day;Day;1210,53211073215;0,5;0;1;0,5;0,49375866851595
Elman;0,25;0,5;1000;3~1;no PCA;Day;Day;Day;1042,53706635729;0,502906976744186;0,00581395348837209;1;0,5;0,490984743411928
Jordan;0,25;0,5;1000;3~1;no PCA;Day;Day;Day;1153,33128036844;0,5;0;1;0,5;0,483356449375867
MLP;0,5;0,5;1000;3~1;no PCA;Day;Day;Day;1078,13307950647;0,5;0;1;0,5;0,4875173370319
Elman;0,5;0,5;1000;3~1;no PCA;Day;Day;Day;1017,36292799288;0,502906976744186;0,0203488372093023;0,98546511627907;0,5;0,501386962552011
Jordan;0,5;0,5;1000;3~1;no PCA;Day;Day;Day;1074,02698709364;0,502906976744186;0,00581395348837209;1;0,5;0,485436893203884
MLP;0,75;0,5;1000;3~1;no PCA;Day;Day;Day;1044,08170539942;0,521802325581395;0,0784883720930233;0,965116279069767;0,5;0,498613037447989
Elman;0,75;0,5;1000;3~1;no PCA;Day;Day;Day;1014,47426784596;0,524709302325581;0,0901162790697674;0,959302325581395;0,5;0,497226074895978
Jordan;0,75;0,5;1000;3~1;no PCA;Day;Day;Day;1048,90326123653;0,517441860465116;0,0755813953488372;0,959302325581395;0,5;0,497226074895978
MLP;1;0,5;1000;3~1;no PCA;Day;Day;Day;1054,30045425464;0,523255813953488;0,11046511627907;0,936046511627907;0,5;0,497919556171983
Elman;1;0,5;1000;3~1;no PCA;Day;Day;Day;1017,46896339212;0,529069767441861;0,116279069767442;0,941860465116279;0,5;0,504854368932039
Jordan;1;0,5;1000;3~1;no PCA;Day;Day;Day;1049,51195910188;0,527616279069767;0,116279069767442;0,938953488372093;0,5;0,495145631067961
MLP;0,25;0,75;1000;3~1;no PCA;Day;Day;Day;1219,96829594855;0,5;0;1;0,5;0,499306518723994
Elman;0,25;0,75;1000;3~1;no PCA;Day;Day;Day;1199,01419053244;0,5;0;1;0,5;0,488210818307906
Jordan;0,25;0,75;1000;3~1;no PCA;Day;Day;Day;1245,20772740117;0,5;0;1;0,5;0,5
MLP;0,5;0,75;1000;3~1;no PCA;Day;Day;Day;1173,81444464735;0,5;0;1;0,5;0,497919556171983
Elman;0,5;0,75;1000;3~1;no PCA;Day;Day;Day;1137,78437390678;0,5;0;1;0,5;0,495145631067961
Jordan;0,5;0,75;1000;3~1;no PCA;Day;Day;Day;1189,15239173438;0,5;0;1;0,5;0,5
MLP;0,75;0,75;1000;3~1;no PCA;Day;Day;Day;1141,58975429215;0,5;0;1;0,5;0,497919556171983
Elman;0,75;0,75;1000;3~1;no PCA;Day;Day;Day;1092,5552348839;0,5;0,00872093023255814;0,991279069767442;0,5;0,5
Jordan;0,75;0,75;1000;3~1;no PCA;Day;Day;Day;1163,70149291368;0,5;0;1;0,5;0,50624133148405
MLP;1;0,75;1000;3~1;no PCA;Day;Day;Day;1129,28790493101;0,5;0;1;0,5;0,507628294036061
Elman;1;0,75;1000;3~1;no PCA;Day;Day;Day;1119,48746294373;0,504360465116279;0,00872093023255814;1;0,5;0,507628294036061
Jordan;1;0,75;1000;3~1;no PCA;Day;Day;Day;1134,55224098144;0,504360465116279;0,00872093023255814;1;0,5;0,504160887656033
MLP;0,25;1;1000;3~1;no PCA;Day;Day;Day;1394,04237348814;0,5;0;1;0,5;0,491678224687933
Elman;0,25;1;1000;3~1;no PCA;Day;Day;Day;1524,57216189672;0,5;0;1;0,5;0,494452149791956
Jordan;0,25;1;1000;3~1;no PCA;Day;Day;Day;1489,83064625784;0,5;0;1;0,5;0,486130374479889
MLP;0,5;1;1000;3~1;no PCA;Day;Day;Day;1342,63648564354;0,5;0;1;0,5;0,5
Elman;0,5;1;1000;3~1;no PCA;Day;Day;Day;1280,62746835153;0,502906976744186;0,00581395348837209;1;0,5;0,500693481276006
Jordan;0,5;1;1000;3~1;no PCA;Day;Day;Day;1405,57138742118;0,5;0;1;0,5;0,501386962552011
MLP;0,75;1;1000;3~1;no PCA;Day;Day;Day;1281,65190999263;0,5;0;1;0,5;0,495839112343967
Elman;0,75;1;1000;3~1;no PCA;Day;Day;Day;1391,78473337262;0,5;0;1;0,5;0,502080443828017
Jordan;0,75;1;1000;3~1;no PCA;Day;Day;Day;1356,77665305184;0,5;0;1;0,5;0,493065187239945
MLP;1;1;1000;3~1;no PCA;Day;Day;Day;1262,9403468963;0,5;0;1;0,5;0,496532593619972
Elman;1;1;1000;3~1;no PCA;Day;Day;Day;1442,35474041004;0,5;0;1;0,5;0,515950069348128
Jordan;1;1;1000;3~1;no PCA;Day;Day;Day;1298,87332520732;0,5;0;1;0,5;0,497919556171983
MLP;0,25;0;1000;10~1;no PCA;Day;Day;Day;1157,73454590228;0,569767441860465;0,369186046511628;0,770348837209302;0,5;0,515256588072122
Elman;0,25;0;1000;10~1;no PCA;Day;Day;Day;1032,61517755358;0,571220930232558;0,377906976744186;0,76453488372093;0,5;0,515950069348128
Jordan;0,25;0;1000;10~1;no PCA;Day;Day;Day;1004,71166742118;0,585755813953488;0,412790697674419;0,758720930232558;0,5;0,513176144244105
MLP;0,5;0;1000;10~1;no PCA;Day;Day;Day;1049,57063843401;0,571220930232558;0,380813953488372;0,761627906976744;0,5;0,518030513176144
Elman;0,5;0;1000;10~1;no PCA;Day;Day;Day;1014,94710081764;0,563953488372093;0,354651162790698;0,773255813953488;0,5;0,510402219140083
Jordan;0,5;0;1000;10~1;no PCA;Day;Day;Day;999,949627585809;0,565406976744186;0,357558139534884;0,773255813953488;0,5;0,50624133148405
MLP;0,75;0;1000;10~1;no PCA;Day;Day;Day;1007,47522548635;0,572674418604651;0,383720930232558;0,761627906976744;0,5;0,515256588072122
Elman;0,75;0;1000;10~1;no PCA;Day;Day;Day;1013,08986059512;0,563953488372093;0,354651162790698;0,773255813953488;0,5;0,505547850208044
Jordan;0,75;0;1000;10~1;no PCA;Day;Day;Day;996,376429696653;0,5625;0,348837209302326;0,776162790697674;0,5;0,511095700416089
MLP;1;0;1000;10~1;no PCA;Day;Day;Day;1001,94254334387;0,569767441860465;0,377906976744186;0,761627906976744;0,5;0,520804438280166
Elman;1;0;1000;10~1;no PCA;Day;Day;Day;1019,73028576511;0,566860465116279;0,36046511627907;0,773255813953488;0,5;0,519417475728155
Jordan;1;0;1000;10~1;no PCA;Day;Day;Day;997,411802126279;0,571220930232558;0,354651162790698;0,787790697674419;0,5;0,511095700416089
MLP;0,25;0,25;1000;10~1;no PCA;Day;Day;Day;1036,69458018553;0,5;0;1;0,5;0,488210818307906
Elman;0,25;0,25;1000;10~1;no PCA;Day;Day;Day;1027,50069902871;0,505813953488372;0,0116279069767442;1;0,5;0,494452149791956
Jordan;0,25;0,25;1000;10~1;no PCA;Day;Day;Day;1082,80890163846;0,502906976744186;0,00581395348837209;1;0,5;0,481969486823856
MLP;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;1025,20430062721;0,508720930232558;0,0406976744186047;0,976744186046512;0,5;0,492371705963939
Elman;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;1010,92361915852;0,521802325581395;0,0959302325581395;0,947674418604651;0,5;0,509015256588072
Jordan;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;1024,15966472725;0,524709302325581;0,0901162790697674;0,959302325581395;0,5;0,501386962552011
MLP;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;1011,13766437098;0,529069767441861;0,133720930232558;0,924418604651163;0,5;0,5
Elman;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;1011,92893419789;0,529069767441861;0,127906976744186;0,930232558139535;0,5;0,520804438280166
Jordan;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;1013,4737167116;0,529069767441861;0,133720930232558;0,924418604651163;0,5;0,502080443828017
MLP;1;0,25;1000;10~1;no PCA;Day;Day;Day;1007,22712045106;0,555232558139535;0,203488372093023;0,906976744186046;0,5;0,506934812760055
Elman;1;0,25;1000;10~1;no PCA;Day;Day;Day;1021,08313835134;0,552325581395349;0,209302325581395;0,895348837209302;0,5;0,524271844660194
Jordan;1;0,25;1000;10~1;no PCA;Day;Day;Day;1007,70896919015;0,555232558139535;0,203488372093023;0,906976744186046;0,5;0,510402219140083
MLP;0,25;0,5;1000;10~1;no PCA;Day;Day;Day;1134,76457171611;0,5;0;1;0,5;0,4875173370319
Elman;0,25;0,5;1000;10~1;no PCA;Day;Day;Day;1148,57759090843;0,5;0;1;0,5;0,484049930651872
Jordan;0,25;0,5;1000;10~1;no PCA;Day;Day;Day;1121,9041876434;0,5;0;1;0,5;0,493065187239945
MLP;0,5;0,5;1000;10~1;no PCA;Day;Day;Day;1089,35994736888;0,5;0;1;0,5;0,479889042995839
Elman;0,5;0,5;1000;10~1;no PCA;Day;Day;Day;1052,49582408903;0,507267441860465;0,0232558139534884;0,991279069767442;0,5;0,5
Jordan;0,5;0,5;1000;10~1;no PCA;Day;Day;Day;1071,58716563964;0,5;0;1;0,5;0,488210818307906
MLP;0,75;0,5;1000;10~1;no PCA;Day;Day;Day;1063,3308275525;0,508720930232558;0,0406976744186047;0,976744186046512;0,5;0,486823855755895
Elman;0,75;0,5;1000;10~1;no PCA;Day;Day;Day;1028,80798033766;0,517441860465116;0,0697674418604651;0,965116279069767;0,5;0,504854368932039
Jordan;0,75;0,5;1000;10~1;no PCA;Day;Day;Day;1052,76593090517;0,517441860465116;0,0465116279069767;0,988372093023256;0,5;0,497919556171983
MLP;1;0,5;1000;10~1;no PCA;Day;Day;Day;1047,65385845058;0,527616279069767;0,113372093023256;0,941860465116279;0,5;0,506934812760055
Elman;1;0,5;1000;10~1;no PCA;Day;Day;Day;1024,54406588868;0,520348837209302;0,101744186046512;0,938953488372093;0,5;0,511095700416089
Jordan;1;0,5;1000;10~1;no PCA;Day;Day;Day;1048,69637938845;0,526162790697674;0,104651162790698;0,947674418604651;0,5;0,501386962552011
MLP;0,25;0,75;1000;10~1;no PCA;Day;Day;Day;1247,34330254814;0,5;0;1;0,5;0,494452149791956
Elman;0,25;0,75;1000;10~1;no PCA;Day;Day;Day;1153,06266185196;0,497093023255814;0,0116279069767442;0,982558139534884;0,5;0,49375866851595
Jordan;0,25;0,75;1000;10~1;no PCA;Day;Day;Day;1264,70310965524;0,5;0;1;0,5;0,502773925104022
MLP;0,5;0,75;1000;10~1;no PCA;Day;Day;Day;1175,50846408606;0,5;0;1;0,5;0,488904299583911
Elman;0,5;0,75;1000;10~1;no PCA;Day;Day;Day;1119,29774938887;0,501453488372093;0,0203488372093023;0,982558139534884;0,5;0,505547850208044
Jordan;0,5;0,75;1000;10~1;no PCA;Day;Day;Day;1187,34635475486;0,5;0;1;0,5;0,495145631067961
MLP;0,75;0,75;1000;10~1;no PCA;Day;Day;Day;1149,88049074755;0,5;0;1;0,5;0,494452149791956
Elman;0,75;0,75;1000;10~1;no PCA;Day;Day;Day;1096,76313133897;0,51453488372093;0,0581395348837209;0,970930232558139;0,5;0,509015256588072
Jordan;0,75;0,75;1000;10~1;no PCA;Day;Day;Day;1158,01632754731;0,5;0;1;0,5;0,499306518723994
