User:;Maciej
IndexName:;WIG20with4Params
StartDate:;2015-01-27 19:33:54
CalculationTime:;20:38:38
TestCasesNumber:;2
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;0;1000;3~1;no PCA;Day;Day;Day;1014,16505972295;0,501453488372093;0,00290697674418605;1;0,5;0,517337031900139
Elman;0,25;0;1000;3~1;no PCA;Day;Day;Day;996,926969879904;0,511627906976744;0,125;0,898255813953488;0,5;0,513869625520111
Jordan;0,25;0;1000;3~1;no PCA;Day;Day;Day;1024,11612266661;0,51453488372093;0,0901162790697674;0,938953488372093;0,5;0,522884882108183
MLP;0,5;0;1000;3~1;no PCA;Day;Day;Day;995,770770454508;0,5;0;1;0,5;0,500693481276006
Elman;0,5;0;1000;3~1;no PCA;Day;Day;Day;998,125196817291;0,505813953488372;0,0494186046511628;0,962209302325581;0,5;0,515950069348128
Jordan;0,5;0;1000;3~1;no PCA;Day;Day;Day;1054,60506632684;0,5;0;1;0,5;0,513869625520111
MLP;0,75;0;1000;3~1;no PCA;Day;Day;Day;1012,11145772106;0,5;0;1;0,5;0,508321775312067
Elman;0,75;0;1000;3~1;no PCA;Day;Day;Day;1010,2417792978;0,501453488372093;0,00581395348837209;0,997093023255814;0,5;0,497919556171983
Jordan;0,75;0;1000;3~1;no PCA;Day;Day;Day;1038,92075293564;0,5;0,00872093023255814;0,991279069767442;0,5;0,500693481276006
MLP;1;0;1000;3~1;no PCA;Day;Day;Day;1048,5014505554;0,5;0;1;0,5;0,506934812760055
Elman;1;0;1000;3~1;no PCA;Day;Day;Day;1043,71606391719;0,5;0;1;0,5;0,509015256588072
Jordan;1;0;1000;3~1;no PCA;Day;Day;Day;1038,26373305193;0,5;0;1;0,5;0,507628294036061
MLP;0,25;0,25;1000;3~1;no PCA;Day;Day;Day;1037,02902745196;0,5;0;1;0,5;0,5
Elman;0,25;0,25;1000;3~1;no PCA;Day;Day;Day;997,584845696786;0,501453488372093;0,00290697674418605;1;0,5;0,511789181692094
Jordan;0,25;0,25;1000;3~1;no PCA;Day;Day;Day;1037,4978032592;0,5;0;1;0,5;0,504854368932039
MLP;0,5;0,25;1000;3~1;no PCA;Day;Day;Day;1021,26009439698;0,5;0;1;0,5;0,515950069348128
Elman;0,5;0,25;1000;3~1;no PCA;Day;Day;Day;976,919199245832;0,5;0;1;0,5;0,518030513176144
Jordan;0,5;0,25;1000;3~1;no PCA;Day;Day;Day;1041,34127634023;0,5;0;1;0,5;0,511095700416089
MLP;0,75;0,25;1000;3~1;no PCA;Day;Day;Day;1049,41606280359;0,5;0;1;0,5;0,514563106796117
Elman;0,75;0,25;1000;3~1;no PCA;Day;Day;Day;1005,77373924691;0,520348837209302;0,133720930232558;0,906976744186047;0,5;0,517337031900139
Jordan;0,75;0,25;1000;3~1;no PCA;Day;Day;Day;1038,18506831611;0,5;0;1;0,5;0,511095700416089
MLP;1;0,25;1000;3~1;no PCA;Day;Day;Day;1050,80366402088;0,5;0;1;0,5;0,514563106796117
Elman;1;0,25;1000;3~1;no PCA;Day;Day;Day;1001,04510686153;0,5;0;1;0,5;0,516643550624133
Jordan;1;0,25;1000;3~1;no PCA;Day;Day;Day;1044,44201046144;0,5;0;1;0,5;0,510402219140083
MLP;0,25;0,5;1000;3~1;no PCA;Day;Day;Day;1157,92196665764;0,5;0;1;0,5;0,493065187239945
Elman;0,25;0,5;1000;3~1;no PCA;Day;Day;Day;1063,61395107805;0,5;0;1;0,5;0,502773925104022
Jordan;0,25;0,5;1000;3~1;no PCA;Day;Day;Day;1237,89740496511;0,5;0;1;0,5;0,493065187239945
MLP;0,5;0,5;1000;3~1;no PCA;Day;Day;Day;1148,13862770923;0,5;0;1;0,5;0,500693481276006
Elman;0,5;0,5;1000;3~1;no PCA;Day;Day;Day;1009,58752805482;0,502906976744186;0,00581395348837209;1;0,5;0,517337031900139
Jordan;0,5;0,5;1000;3~1;no PCA;Day;Day;Day;1163,55434388004;0,5;0;1;0,5;0,5
MLP;0,75;0,5;1000;3~1;no PCA;Day;Day;Day;1124,57042198049;0,5;0;1;0,5;0,503467406380028
Elman;0,75;0,5;1000;3~1;no PCA;Day;Day;Day;1000,72151295946;0,501453488372093;0,00290697674418605;1;0,5;0,520110957004161
Jordan;0,75;0,5;1000;3~1;no PCA;Day;Day;Day;1118,42413227964;0,5;0;1;0,5;0,506934812760055
MLP;1;0,5;1000;3~1;no PCA;Day;Day;Day;1116,15964093317;0,5;0;1;0,5;0,519417475728155
Elman;1;0,5;1000;3~1;no PCA;Day;Day;Day;1002,45780431021;0,5;0;1;0,5;0,522884882108183
Jordan;1;0,5;1000;3~1;no PCA;Day;Day;Day;1144,44428483367;0,5;0;1;0,5;0,509015256588072
MLP;0,25;0,75;1000;3~1;no PCA;Day;Day;Day;1413,56222373153;0,5;0;1;0,5;0,504854368932039
Elman;0,25;0,75;1000;3~1;no PCA;Day;Day;Day;1184,34863775554;0,5;0;1;0,5;0,497919556171983
Jordan;0,25;0,75;1000;3~1;no PCA;Day;Day;Day;1461,03514559039;0,5;0;1;0,5;0,500693481276006
MLP;0,5;0,75;1000;3~1;no PCA;Day;Day;Day;1343,3723587088;0,550872093023256;0,258720930232558;0,843023255813953;0,5;0,496532593619972
Elman;0,5;0,75;1000;3~1;no PCA;Day;Day;Day;1128,71592540181;0,5;0,00872093023255814;0,991279069767442;0,5;0,506934812760055
Jordan;0,5;0,75;1000;3~1;no PCA;Day;Day;Day;1383,01275192448;0,5;0;1;0,5;0,502080443828017
MLP;0,75;0,75;1000;3~1;no PCA;Day;Day;Day;1345,81944475613;0,57703488372093;0,383720930232558;0,770348837209302;0,5;0,503467406380028
Elman;0,75;0,75;1000;3~1;no PCA;Day;Day;Day;1124,32752247888;0,501453488372093;0,00581395348837209;0,997093023255814;0,5;0,505547850208044
Jordan;0,75;0,75;1000;3~1;no PCA;Day;Day;Day;1369,16049295657;0,5;0;1;0,5;0,5
MLP;1;0,75;1000;3~1;no PCA;Day;Day;Day;1332,72659155545;0,521802325581395;0,13953488372093;0,904069767441861;0,5;0,5
Elman;1;0,75;1000;3~1;no PCA;Day;Day;Day;1105,73134506671;0,501453488372093;0,00290697674418605;1;0,5;0,5124826629681
Jordan;1;0,75;1000;3~1;no PCA;Day;Day;Day;1335,01404156798;0,5;0;1;0,5;0,501386962552011
MLP;0,25;1;1000;3~1;no PCA;Day;Day;Day;1867,45471253287;0,520348837209302;0,156976744186047;0,883720930232558;0,5;0,495145631067961
Elman;0,25;1;1000;3~1;no PCA;Day;Day;Day;1856,22393494404;0,497093023255814;0,0174418604651163;0,976744186046512;0,5;0,509015256588072
Jordan;0,25;1;1000;3~1;no PCA;Day;Day;Day;1843,47265242349;0,5;0;1;0,5;0,495839112343967
MLP;0,5;1;1000;3~1;no PCA;Day;Day;Day;1820,67042544606;0,572674418604651;0,808139534883721;0,337209302325581;0,5;0,504854368932039
Elman;0,5;1;1000;3~1;no PCA;Day;Day;Day;1502,61332603873;0,5;0,0116279069767442;0,988372093023256;0,5;0,503467406380028
Jordan;0,5;1;1000;3~1;no PCA;Day;Day;Day;1929,56870451018;0,5;0;1;0,5;0,501386962552011
MLP;0,75;1;1000;3~1;no PCA;Day;Day;Day;1863,15492241812;0,574127906976744;0,813953488372093;0,334302325581395;0,5;0,504160887656033
Elman;0,75;1;1000;3~1;no PCA;Day;Day;Day;1648,1970079418;0,5;0;1;0,5;0,504160887656033
Jordan;0,75;1;1000;3~1;no PCA;Day;Day;Day;1768,32826416629;0,5;0;1;0,5;0,499306518723994
MLP;1;1;1000;3~1;no PCA;Day;Day;Day;1672,65148670032;0,582848837209302;0,633720930232558;0,531976744186047;0,5;0,498613037447989
Elman;1;1;1000;3~1;no PCA;Day;Day;Day;1585,33769827477;0,5;0;1;0,5;0,515950069348128
Jordan;1;1;1000;3~1;no PCA;Day;Day;Day;1672,16355287492;0,5;0;1;0,5;0,506934812760055
MLP;0,25;0;1000;10~1;no PCA;Day;Day;Day;1011,59500679959;0,5;0;1;0,5;0,503467406380028
Elman;0,25;0;1000;10~1;no PCA;Day;Day;Day;1014,31665371435;0,542151162790698;0,223837209302326;0,86046511627907;0,5;0,523578363384189
Jordan;0,25;0;1000;10~1;no PCA;Day;Day;Day;1065,14678797864;0,5;0;1;0,5;0,520110957004161
MLP;0,5;0;1000;10~1;no PCA;Day;Day;Day;1032,3564558174;0,5;0;1;0,5;0,50624133148405
Elman;0,5;0;1000;10~1;no PCA;Day;Day;Day;1005,214178308;0,517441860465116;0,127906976744186;0,906976744186047;0,5;0,515256588072122
Jordan;0,5;0;1000;10~1;no PCA;Day;Day;Day;1012,91862736043;0,497093023255814;0;0,994186046511628;0,5;0,507628294036061
MLP;0,75;0;1000;10~1;no PCA;Day;Day;Day;1000,84272072876;0,5;0;1;0,5;0,500693481276006
Elman;0,75;0;1000;10~1;no PCA;Day;Day;Day;1015,59945884137;0,507267441860465;0,0348837209302326;0,979651162790698;0,5;0,519417475728155
Jordan;0,75;0;1000;10~1;no PCA;Day;Day;Day;1010,5271204993;0,5;0;1;0,5;0,509708737864078
MLP;1;0;1000;10~1;no PCA;Day;Day;Day;1005,87108336541;0,5;0;1;0,5;0,505547850208044
Elman;1;0;1000;10~1;no PCA;Day;Day;Day;1019,00572297237;0,5;0,00290697674418605;0,997093023255814;0,5;0,514563106796117
Jordan;1;0;1000;10~1;no PCA;Day;Day;Day;1004,09359626458;0,5;0;1;0,5;0,511095700416089
MLP;0,25;0,25;1000;10~1;no PCA;Day;Day;Day;1067,00462732753;0,497093023255814;0,00290697674418605;0,991279069767442;0,5;0,495839112343967
Elman;0,25;0,25;1000;10~1;no PCA;Day;Day;Day;1022,93678959604;0,501453488372093;0,00290697674418605;1;0,5;0,510402219140083
Jordan;0,25;0,25;1000;10~1;no PCA;Day;Day;Day;1082,80354567034;0,5;0;1;0,5;0,496532593619972
MLP;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;1035,5527525276;0,497093023255814;0;0,994186046511628;0,5;0,514563106796117
Elman;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;978,562160803627;0,502906976744186;0,00581395348837209;1;0,5;0,5124826629681
Jordan;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;1029,87484389599;0,5;0;1;0,5;0,515256588072122
MLP;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;1028,08745483414;0,5;0;1;0,5;0,511095700416089
Elman;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;995,093269360885;0,501453488372093;0,00290697674418605;1;0,5;0,519417475728155
Jordan;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;1028,77364789807;0,5;0;1;0,5;0,517337031900139
MLP;1;0,25;1000;10~1;no PCA;Day;Day;Day;1033,10112857776;0,5;0;1;0,5;0,506934812760055
Elman;1;0,25;1000;10~1;no PCA;Day;Day;Day;997,649202445024;0,501453488372093;0,00872093023255814;0,994186046511628;0,5;0,522884882108183
Jordan;1;0,25;1000;10~1;no PCA;Day;Day;Day;1029,81018908196;0,5;0;1;0,5;0,514563106796117
MLP;0,25;0,5;1000;10~1;no PCA;Day;Day;Day;1187,4797313704;0,5;0;1;0,5;0,495145631067961
Elman;0,25;0,5;1000;10~1;no PCA;Day;Day;Day;1085,34622753294;0,502906976744186;0,0145348837209302;0,991279069767442;0,5;0,504854368932039
Jordan;0,25;0,5;1000;10~1;no PCA;Day;Day;Day;1183,21176561317;0,5;0;1;0,5;0,488210818307906
MLP;0,5;0,5;1000;10~1;no PCA;Day;Day;Day;1145,3133808597;0,5;0;1;0,5;0,502773925104022
Elman;0,5;0,5;1000;10~1;no PCA;Day;Day;Day;1046,58122970618;0,504360465116279;0,0116279069767442;0,997093023255814;0,5;0,517337031900139
Jordan;0,5;0,5;1000;10~1;no PCA;Day;Day;Day;1133,65546201572;0,5;0;1;0,5;0,504854368932039
MLP;0,75;0,5;1000;10~1;no PCA;Day;Day;Day;1122,29244295762;0,5;0;1;0,5;0,5124826629681
Elman;0,75;0,5;1000;10~1;no PCA;Day;Day;Day;1031,65543387643;0,502906976744186;0,00581395348837209;1;0,5;0,529126213592233
Jordan;0,75;0,5;1000;10~1;no PCA;Day;Day;Day;1122,54064001748;0,5;0;1;0,5;0,513869625520111
MLP;1;0,5;1000;10~1;no PCA;Day;Day;Day;1126,58584031842;0,5;0;1;0,5;0,51872399445215
Elman;1;0,5;1000;10~1;no PCA;Day;Day;Day;1039,88929414333;0,501453488372093;0,00290697674418605;1;0,5;0,527739251040222
Jordan;1;0,5;1000;10~1;no PCA;Day;Day;Day;1127,77800230108;0,5;0;1;0,5;0,522884882108183
MLP;0,25;0,75;1000;10~1;no PCA;Day;Day;Day;1409,59587753959;0,5;0;1;0,5;0,511095700416089
Elman;0,25;0,75;1000;10~1;no PCA;Day;Day;Day;1239,39761398005;0,520348837209302;0,0959302325581395;0,944767441860465;0,5;0,508321775312067
Jordan;0,25;0,75;1000;10~1;no PCA;Day;Day;Day;1446,47917306941;0,5;0;1;0,5;0,507628294036061
MLP;0,5;0,75;1000;10~1;no PCA;Day;Day;Day;1365,28568040013;0,546511627906977;0,26453488372093;0,828488372093023;0,5;0,499306518723994
Elman;0,5;0,75;1000;10~1;no PCA;Day;Day;Day;1169,19738795566;0,517441860465116;0,0755813953488372;0,959302325581395;0,5;0,510402219140083
Jordan;0,5;0,75;1000;10~1;no PCA;Day;Day;Day;1395,65796233401;0,5;0;1;0,5;0,5
MLP;0,75;0,75;1000;10~1;no PCA;Day;Day;Day;1315,38439455586;0,526162790697674;0,133720930232558;0,918604651162791;0,5;0,496532593619972
Elman;0,75;0,75;1000;10~1;no PCA;Day;Day;Day;1136,92413380398;0,502906976744186;0,00872093023255814;0,997093023255814;0,5;0,513176144244105
Jordan;0,75;0,75;1000;10~1;no PCA;Day;Day;Day;1346,02463841629;0,5;0;1;0,5;0,502773925104022
MLP;1;0,75;1000;10~1;no PCA;Day;Day;Day;1324,41016705578;0,520348837209302;0,159883720930233;0,880813953488372;0,5;0,497919556171983
Elman;1;0,75;1000;10~1;no PCA;Day;Day;Day;1109,14948109837;0,501453488372093;0,00290697674418605;1;0,5;0,522884882108183
Jordan;1;0,75;1000;10~1;no PCA;Day;Day;Day;1323,10316247929;0,5;0;1;0,5;0,499306518723994
MLP;0,25;1;1000;10~1;no PCA;Day;Day;Day;1891,84928434939;0,51453488372093;0,156976744186047;0,872093023255814;0,5;0,496532593619972
Elman;0,25;1;1000;10~1;no PCA;Day;Day;Day;1455,87593899482;0,508720930232558;0,0523255813953488;0,965116279069767;0,5;0,509015256588072
Jordan;0,25;1;1000;10~1;no PCA;Day;Day;Day;2007,07148647366;0,504360465116279;0,00872093023255814;1;0,5;0,501386962552011
MLP;0,5;1;1000;10~1;no PCA;Day;Day;Day;1803,46360805173;0,561046511627907;0,828488372093023;0,293604651162791;0,5;0,503467406380028
Elman;0,5;1;1000;10~1;no PCA;Day;Day;Day;1359,12638762834;0,527616279069767;0,203488372093023;0,851744186046512;0,5;0,507628294036061
Jordan;0,5;1;1000;10~1;no PCA;Day;Day;Day;1851,95945742183;0,501453488372093;0,00581395348837209;0,997093023255814;0,5;0,505547850208044
MLP;0,75;1;1000;10~1;no PCA;Day;Day;Day;1711,50322666203;0,578488372093023;0,802325581395349;0,354651162790698;0,5;0,504854368932039
Elman;0,75;1;1000;10~1;no PCA;Day;Day;Day;1327,71318708977;0,524709302325581;0,159883720930233;0,88953488372093;0,5;0,504160887656033
Jordan;0,75;1;1000;10~1;no PCA;Day;Day;Day;1742,80200815269;0,5;0;1;0,5;0,504854368932039
MLP;1;1;1000;10~1;no PCA;Day;Day;Day;1646,04050946522;0,582848837209302;0,700581395348837;0,465116279069767;0,5;0,501386962552011
Elman;1;1;1000;10~1;no PCA;Day;Day;Day;1251,59651440041;0,510174418604651;0,0843023255813953;0,936046511627907;0,5;0,509015256588072
Jordan;1;1;1000;10~1;no PCA;Day;Day;Day;1792,98445808887;0,5;0;1;0,5;0,511789181692094
MLP;0,25;0;1000;30~1;no PCA;Day;Day;Day;1142,06483727046;0,511627906976744;0,944767441860465;0,0784883720930233;0,5;0,522884882108183
Elman;0,25;0;1000;30~1;no PCA;Day;Day;Day;1046,61459370293;0,553779069767442;0,546511627906977;0,561046511627907;0,5;0,549237170596394
Jordan;0,25;0;1000;30~1;no PCA;Day;Day;Day;1112,2929516031;0,526162790697674;0,918604651162791;0,133720930232558;0,5;0,5249653259362
MLP;0,5;0;1000;30~1;no PCA;Day;Day;Day;1032,4266207316;0,5;0;1;0,5;0,518030513176144
Elman;0,5;0;1000;30~1;no PCA;Day;Day;Day;1039,02689441026;0,549418604651163;0,482558139534884;0,616279069767442;0,5;0,525658807212205
Jordan;0,5;0;1000;30~1;no PCA;Day;Day;Day;1041,26288380911;0,5;0;1;0,5;0,517337031900139
MLP;0,75;0;1000;30~1;no PCA;Day;Day;Day;1018,0431264989;0,5;0;1;0,5;0,507628294036061
Elman;0,75;0;1000;30~1;no PCA;Day;Day;Day;1049,27618147673;0,546511627906977;0,313953488372093;0,779069767441861;0,5;0,517337031900139
Jordan;0,75;0;1000;30~1;no PCA;Day;Day;Day;1011,6724912424;0,5;0;1;0,5;0,50624133148405
MLP;1;0;1000;30~1;no PCA;Day;Day;Day;1013,6126911305;0,5;0;1;0,5;0,5
Elman;1;0;1000;30~1;no PCA;Day;Day;Day;1057,08091911336;0,537790697674419;0,156976744186047;0,918604651162791;0,5;0,515950069348128
Jordan;1;0;1000;30~1;no PCA;Day;Day;Day;1009,56662959029;0,5;0;1;0,5;0,5
MLP;0,25;0,25;1000;30~1;no PCA;Day;Day;Day;1126,23270234803;0,5;0;1;0,5;0,498613037447989
Elman;0,25;0,25;1000;30~1;no PCA;Day;Day;Day;1117,93775248304;0,526162790697674;0,171511627906977;0,880813953488372;0,5;0,501386962552011
Jordan;0,25;0,25;1000;30~1;no PCA;Day;Day;Day;1106,40021637458;0,5;0;1;0,5;0,502080443828017
MLP;0,5;0,25;1000;30~1;no PCA;Day;Day;Day;1068,3907129361;0,488372093023256;0,00872093023255814;0,968023255813953;0,5;0,504854368932039
Elman;0,5;0,25;1000;30~1;no PCA;Day;Day;Day;1046,20120442456;0,505813953488372;0,0116279069767442;1;0,5;0,516643550624133
Jordan;0,5;0,25;1000;30~1;no PCA;Day;Day;Day;1042,27658235287;0,5;0;1;0,5;0,511789181692094
MLP;0,75;0,25;1000;30~1;no PCA;Day;Day;Day;1053,12237183942;0,497093023255814;0;0,994186046511628;0,5;0,502080443828017
Elman;0,75;0,25;1000;30~1;no PCA;Day;Day;Day;1032,4920862993;0,502906976744186;0,00581395348837209;1;0,5;0,528432732316227
Jordan;0,75;0,25;1000;30~1;no PCA;Day;Day;Day;1037,83713518084;0,5;0;1;0,5;0,510402219140083
MLP;1;0,25;1000;30~1;no PCA;Day;Day;Day;1048,02764199526;0,497093023255814;0;0,994186046511628;0,5;0,506934812760055
Elman;1;0,25;1000;30~1;no PCA;Day;Day;Day;1034,57035171665;0,501453488372093;0,00290697674418605;1;0,5;0,513176144244105
Jordan;1;0,25;1000;30~1;no PCA;Day;Day;Day;1031,11887979751;0,5;0;1;0,5;0,503467406380028
MLP;0,25;0,5;1000;30~1;no PCA;Day;Day;Day;1232,62021272685;0,488372093023256;0,0116279069767442;0,965116279069767;0,5;0,495839112343967
Elman;0,25;0,5;1000;30~1;no PCA;Day;Day;Day;1392,39829877872;0,574127906976744;0,590116279069767;0,558139534883721;0,5;0,505547850208044
Jordan;0,25;0,5;1000;30~1;no PCA;Day;Day;Day;1202,2011382857;0,5;0;1;0,5;0,497226074895978
MLP;0,5;0,5;1000;30~1;no PCA;Day;Day;Day;1166,08332466583;0,5;0;1;0,5;0,495839112343967
Elman;0,5;0,5;1000;30~1;no PCA;Day;Day;Day;1179,25753576967;0,545058139534884;0,319767441860465;0,770348837209302;0,5;0,501386962552011
Jordan;0,5;0,5;1000;30~1;no PCA;Day;Day;Day;1158,81705667678;0,5;0;1;0,5;0,501386962552011
MLP;0,75;0,5;1000;30~1;no PCA;Day;Day;Day;1161,4330217212;0,497093023255814;0;0,994186046511628;0,5;0,503467406380028
Elman;0,75;0,5;1000;30~1;no PCA;Day;Day;Day;1141,39731374843;0,504360465116279;0,00872093023255814;1;0,5;0,513869625520111
Jordan;0,75;0,5;1000;30~1;no PCA;Day;Day;Day;1138,7230782516;0,5;0;1;0,5;0,508321775312067
MLP;1;0,5;1000;30~1;no PCA;Day;Day;Day;1156,5689446968;0,497093023255814;0;0,994186046511628;0,5;0,511095700416089
Elman;1;0,5;1000;30~1;no PCA;Day;Day;Day;1101,04593864297;0,5;0;1;0,5;0,515256588072122
Jordan;1;0,5;1000;30~1;no PCA;Day;Day;Day;1133,31720726049;0,5;0;1;0,5;0,515950069348128
MLP;0,25;0,75;1000;30~1;no PCA;Day;Day;Day;1554,34184753454;0,495639534883721;0,00290697674418605;0,988372093023256;0,5;0,496532593619972
Elman;0,25;0,75;1000;30~1;no PCA;Day;Day;Day;2080,04650476268;0,523255813953488;0,502906976744186;0,543604651162791;0,5;0,497919556171983
Jordan;0,25;0,75;1000;30~1;no PCA;Day;Day;Day;1495,69666919157;0,5;0;1;0,5;0,497919556171983
MLP;0,5;0,75;1000;30~1;no PCA;Day;Day;Day;1607,57194229051;0,504360465116279;0,168604651162791;0,840116279069767;0,5;0,509708737864078
Elman;0,5;0,75;1000;30~1;no PCA;Day;Day;Day;1603,31524415202;0,565406976744186;0,34593023255814;0,784883720930233;0,5;0,495839112343967
Jordan;0,5;0,75;1000;30~1;no PCA;Day;Day;Day;1399,720682119;0,5;0;1;0,5;0,498613037447989
MLP;0,75;0,75;1000;30~1;no PCA;Day;Day;Day;1363,96407065944;0,523255813953488;0,247093023255814;0,799418604651163;0,5;0,5
Elman;0,75;0,75;1000;30~1;no PCA;Day;Day;Day;1821,81613421011;0,568313953488372;0,412790697674419;0,723837209302326;0,5;0,5
Jordan;0,75;0,75;1000;30~1;no PCA;Day;Day;Day;1355,79993158161;0,5;0;1;0,5;0,497919556171983
MLP;1;0,75;1000;30~1;no PCA;Day;Day;Day;1318,21168331905;0,518895348837209;0,104651162790698;0,933139534883721;0,5;0,502080443828017
