User:;komputer
IndexName:;Wig20ClosingAndVolumeOnly
StartDate:;2015-01-17 21:57:35
CalculationTime:;12:46:27
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;60
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,8;0,1;700;4~1;no PCA;Day;Day;Day;1107,65440659069;0,503267973856209;0,134361233480176;0,864224137931034;0,505446623093682;0,511326860841424
Jordan;0,8;0,1;700;4~1;no PCA;Day;Day;Day;1104,43981300324;0,496732026143791;0,136563876651982;0,849137931034483;0,505446623093682;0,510922330097087
Elman;0,8;0,1;700;4~1;no PCA;Day;Day;Day;1128,73388366797;0,503812636165577;0,134361233480176;0,865301724137931;0,505446623093682;0,505258899676375
MLP;0,8;0,1;1000;4~1;no PCA;Day;Day;Day;1116,28695717984;0,504357298474946;0,133259911894273;0,867456896551724;0,505446623093682;0,508090614886731
Jordan;0,8;0,1;1000;4~1;no PCA;Day;Day;Day;1090,72105439502;0,496732026143791;0,136563876651982;0,849137931034483;0,505446623093682;0,516181229773463
Elman;0,8;0,1;1000;4~1;no PCA;Day;Day;Day;1109,89619764797;0,502178649237473;0,134361233480176;0,862068965517241;0,505446623093682;0,511326860841424
MLP;0,8;0,1;2500;4~1;no PCA;Day;Day;Day;1076,0405564653;0,498910675381264;0,135462555066079;0,854525862068966;0,505446623093682;0,516585760517799
Jordan;0,8;0,1;2500;4~1;no PCA;Day;Day;Day;1082,66239733903;0,496732026143791;0,136563876651982;0,849137931034483;0,505446623093682;0,514563106796117
Elman;0,8;0,1;2500;4~1;no PCA;Day;Day;Day;1080,41695253151;0,496732026143791;0,136563876651982;0,849137931034483;0,505446623093682;0,511731391585761
MLP;0,8;0,1;7500;4~1;no PCA;Day;Day;Day;1061,31205090823;0,496732026143791;0,136563876651982;0,849137931034483;0,505446623093682;0,520631067961165
