User:;Maciej
IndexName:;Wig20ClosingAndVolumeOnly
StartDate:;2015-01-18 15:22:13
CalculationTime:;06:17:28
TestCasesNumber:;1
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;0;1000;3~3~1;no PCA;Week;Day;Day;1027,58402991169;0,5;0;1;0,5;0,508356545961003
Jordan;0,25;0;1000;3~3~1;no PCA;Week;Day;Day;1039,06318350228;0,5;0;1;0,5;0,513927576601671
Elman;0,25;0;1000;3~3~1;no PCA;Week;Day;Day;1055,89577594186;0,5;0;1;0,5;0,505571030640669
MLP;0,5;0;1000;3~3~1;no PCA;Week;Day;Day;1061,66331574119;0,494186046511628;0;0,988372093023256;0,5;0,50974930362117
Jordan;0,5;0;1000;3~3~1;no PCA;Week;Day;Day;1070,58942444087;0,5;0;1;0,5;0,518105849582173
Elman;0,5;0;1000;3~3~1;no PCA;Week;Day;Day;1071,81009901475;0,5;0;1;0,5;0,498607242339833
MLP;0,75;0;1000;3~3~1;no PCA;Week;Day;Day;1091,99301583386;0,5;0;1;0,5;0,518105849582173
Jordan;0,75;0;1000;3~3~1;no PCA;Week;Day;Day;1075,91953244628;0,5;0;1;0,5;0,513927576601671
Elman;0,75;0;1000;3~3~1;no PCA;Week;Day;Day;1661,06344491334;0,529069767441861;0,720930232558139;0,337209302325581;0,5;0,504178272980501
MLP;1;0;1000;3~3~1;no PCA;Week;Day;Day;2633,20266620889;0,569767441860465;0,331395348837209;0,808139534883721;0,5;0,504178272980501
Jordan;1;0;1000;3~3~1;no PCA;Week;Day;Day;1217,97825734933;0,5;0;1;0,5;0,50974930362117
Elman;1;0;1000;3~3~1;no PCA;Week;Day;Day;1779,18093672975;0,549418604651163;0,25;0,848837209302326;0,5;0,506963788300836
MLP;0,25;0,25;1000;3~3~1;no PCA;Week;Day;Day;1006,60201350916;0,497093023255814;0,00581395348837209;0,988372093023256;0,5;0,515320334261838
Jordan;0,25;0,25;1000;3~3~1;no PCA;Week;Day;Day;1190,72615591034;0,5;0;1;0,5;0,501392757660167
Elman;0,25;0,25;1000;3~3~1;no PCA;Week;Day;Day;985,115017628805;0,51453488372093;0,127906976744186;0,901162790697674;0,5;0,511142061281337
MLP;0,5;0,25;1000;3~3~1;no PCA;Week;Day;Day;989,074487367963;0,5;0;1;0,5;0,527855153203343
Jordan;0,5;0,25;1000;3~3~1;no PCA;Week;Day;Day;1004,33478618938;0,5;0;1;0,5;0,527855153203343
Elman;0,5;0,25;1000;3~3~1;no PCA;Week;Day;Day;1036,69964793217;0,502906976744186;0,00581395348837209;1;0,5;0,488857938718663
MLP;0,75;0,25;1000;3~3~1;no PCA;Week;Day;Day;1495,70346875709;0,505813953488372;0,0465116279069767;0,965116279069767;0,5;0,477715877437326
Jordan;0,75;0,25;1000;3~3~1;no PCA;Week;Day;Day;1989,01686586352;0,563953488372093;0,366279069767442;0,761627906976744;0,5;0,501392757660167
Elman;0,75;0,25;1000;3~3~1;no PCA;Week;Day;Day;1022,64162546312;0,5;0;1;0,5;0,511142061281337
MLP;1;0,25;1000;3~3~1;no PCA;Week;Day;Day;1073,4079967605;0,5;0;1;0,5;0,511142061281337
Jordan;1;0,25;1000;3~3~1;no PCA;Week;Day;Day;2292,94459796252;0,546511627906977;0,203488372093023;0,88953488372093;0,5;0,506963788300836
Elman;1;0,25;1000;3~3~1;no PCA;Week;Day;Day;1050,85082858752;0,5;0;1;0,5;0,5
MLP;0,25;0,5;1000;3~3~1;no PCA;Week;Day;Day;4117,84053449855;0,5;0;1;0,5;0,513927576601671
Jordan;0,25;0,5;1000;3~3~1;no PCA;Week;Day;Day;6108,14023511093;0,5;0;1;0,5;0,495821727019499
Elman;0,25;0,5;1000;3~3~1;no PCA;Week;Day;Day;1184,16285036141;0,526162790697674;0,982558139534884;0,0697674418604651;0,5;0,50974930362117
MLP;0,5;0,5;1000;3~3~1;no PCA;Week;Day;Day;2292,80519908857;0,497093023255814;0;0,994186046511628;0,5;0,5
Jordan;0,5;0,5;1000;3~3~1;no PCA;Week;Day;Day;2626,22622537522;0,5;0;1;0,5;0,48050139275766
Elman;0,5;0,5;1000;3~3~1;no PCA;Week;Day;Day;1151,72632507202;0,572674418604651;0,656976744186046;0,488372093023256;0,5;0,527855153203343
MLP;0,75;0,5;1000;3~3~1;no PCA;Week;Day;Day;2175,08363725703;0,511627906976744;0,0348837209302326;0,988372093023256;0,5;0,495821727019499
Jordan;0,75;0,5;1000;3~3~1;no PCA;Week;Day;Day;2319,55988599356;0,5;0;1;0,5;0,506963788300836
Elman;0,75;0,5;1000;3~3~1;no PCA;Week;Day;Day;1039,83413084943;0,5;0;1;0,5;0,532033426183844
MLP;1;0,5;1000;3~3~1;no PCA;Week;Day;Day;1685,27179020774;0,508720930232558;0,0174418604651163;1;0,5;0,502785515320334
Jordan;1;0,5;1000;3~3~1;no PCA;Week;Day;Day;1682,87747475248;0,5;0;1;0,5;0,497214484679666
Elman;1;0,5;1000;3~3~1;no PCA;Week;Day;Day;1100,82339945309;0,572674418604651;0,383720930232558;0,761627906976744;0,5;0,513927576601671
