User:;Maciej
IndexName:;TimeSeriesOur
StartDate:;2015-01-14 00:26:21
CalculationTime:;02:07:40
TestCasesNumber:;100
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;0;0;100;2~1;no PCA;Day;Day;Day;0,0773824871915626
Jordan;0;0;100;2~1;no PCA;Day;Day;Day;0,0801600927068162
Elman;0;0;100;2~1;no PCA;Day;Day;Day;0,0816038374029655
MLP;0,2;0;100;2~1;no PCA;Day;Day;Day;0,0684661329457669
Jordan;0,2;0;100;2~1;no PCA;Day;Day;Day;0,0685321294182394
Elman;0,2;0;100;2~1;no PCA;Day;Day;Day;0,0685318242020083
MLP;0,4;0;100;2~1;no PCA;Day;Day;Day;0,0632558095069405
Jordan;0,4;0;100;2~1;no PCA;Day;Day;Day;0,0651579911889028
Elman;0,4;0;100;2~1;no PCA;Day;Day;Day;0,0632433068359663
MLP;0,6;0;100;2~1;no PCA;Day;Day;Day;0,0548058757164818
Jordan;0,6;0;100;2~1;no PCA;Day;Day;Day;0,0547924883115807
Elman;0,6;0;100;2~1;no PCA;Day;Day;Day;0,0541518588990671
MLP;0,8;0;100;2~1;no PCA;Day;Day;Day;0,0357583041080048
Jordan;0,8;0;100;2~1;no PCA;Day;Day;Day;0,0383205582249334
Elman;0,8;0;100;2~1;no PCA;Day;Day;Day;0,0382689362180128
MLP;1;0;100;2~1;no PCA;Day;Day;Day;0,0202291682045826
Jordan;1;0;100;2~1;no PCA;Day;Day;Day;0,0213325621830422
Elman;1;0;100;2~1;no PCA;Day;Day;Day;0,0206444080771037
MLP;0;0,2;100;2~1;no PCA;Day;Day;Day;0,0947793265826547
Jordan;0;0,2;100;2~1;no PCA;Day;Day;Day;0,0941164595121232
Elman;0;0,2;100;2~1;no PCA;Day;Day;Day;0,0947287716541568
MLP;0,2;0,2;100;2~1;no PCA;Day;Day;Day;0,0822335135478215
Jordan;0,2;0,2;100;2~1;no PCA;Day;Day;Day;0,0814211048011659
Elman;0,2;0,2;100;2~1;no PCA;Day;Day;Day;0,0818392523253582
MLP;0,4;0,2;100;2~1;no PCA;Day;Day;Day;0,0776176137494017
Jordan;0,4;0,2;100;2~1;no PCA;Day;Day;Day;0,0778843184799824
Elman;0,4;0,2;100;2~1;no PCA;Day;Day;Day;0,0790154095500616
MLP;0,6;0,2;100;2~1;no PCA;Day;Day;Day;0,0688540579833094
Jordan;0,6;0,2;100;2~1;no PCA;Day;Day;Day;0,072376224327013
Elman;0,6;0,2;100;2~1;no PCA;Day;Day;Day;0,075450572547868
MLP;0,8;0,2;100;2~1;no PCA;Day;Day;Day;0,0555385296201887
Jordan;0,8;0,2;100;2~1;no PCA;Day;Day;Day;0,0650209536060035
Elman;0,8;0,2;100;2~1;no PCA;Day;Day;Day;0,0687112676314173
MLP;1;0,2;100;2~1;no PCA;Day;Day;Day;0,0357719287778399
Jordan;1;0,2;100;2~1;no PCA;Day;Day;Day;0,0468590846989478
Elman;1;0,2;100;2~1;no PCA;Day;Day;Day;0,0560769914782947
MLP;0;0,4;100;2~1;no PCA;Day;Day;Day;0,115308166749107
Jordan;0;0,4;100;2~1;no PCA;Day;Day;Day;0,115267734107667
Elman;0;0,4;100;2~1;no PCA;Day;Day;Day;0,116715078808254
MLP;0,2;0,4;100;2~1;no PCA;Day;Day;Day;0,0942694168916692
Jordan;0,2;0,4;100;2~1;no PCA;Day;Day;Day;0,09305386690385
Elman;0,2;0,4;100;2~1;no PCA;Day;Day;Day;0,0923910224543244
MLP;0,4;0,4;100;2~1;no PCA;Day;Day;Day;0,089860507119505
Jordan;0,4;0,4;100;2~1;no PCA;Day;Day;Day;0,0900493111900368
Elman;0,4;0,4;100;2~1;no PCA;Day;Day;Day;0,0903290883613288
MLP;0,6;0,4;100;2~1;no PCA;Day;Day;Day;0,0868462470372146
Jordan;0,6;0,4;100;2~1;no PCA;Day;Day;Day;0,0893939799388226
Elman;0,6;0,4;100;2~1;no PCA;Day;Day;Day;0,0900875695382348
MLP;0,8;0,4;100;2~1;no PCA;Day;Day;Day;0,0824568954501817
Jordan;0,8;0,4;100;2~1;no PCA;Day;Day;Day;0,0896505748795822
Elman;0,8;0,4;100;2~1;no PCA;Day;Day;Day;0,0908883166960276
MLP;1;0,4;100;2~1;no PCA;Day;Day;Day;0,0729598743086425
Jordan;1;0,4;100;2~1;no PCA;Day;Day;Day;0,0896210981732761
Elman;1;0,4;100;2~1;no PCA;Day;Day;Day;0,0917051721806266
MLP;0;0,6;100;2~1;no PCA;Day;Day;Day;0,145263599885564
Jordan;0;0,6;100;2~1;no PCA;Day;Day;Day;0,145997293999023
Elman;0;0,6;100;2~1;no PCA;Day;Day;Day;0,146323235434245
MLP;0,2;0,6;100;2~1;no PCA;Day;Day;Day;0,105686606053478
Jordan;0,2;0,6;100;2~1;no PCA;Day;Day;Day;0,103891940105961
