User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-14 12:53:25
CalculationTime:;02:29:39
TestCasesNumber:;10
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;0;0;100;10~1;no PCA;Week;Day;Day;1858418,87088761
Jordan;0;0;100;10~1;no PCA;Week;Day;Day;1644511,4484348
Elman;0;0;100;10~1;no PCA;Week;Day;Day;1785588,74722282
MLP;0,2;0;100;10~1;no PCA;Week;Day;Day;22436,7742292298
Jordan;0,2;0;100;10~1;no PCA;Week;Day;Day;23300,0999044641
Elman;0,2;0;100;10~1;no PCA;Week;Day;Day;19684,8478413409
MLP;0,4;0;100;10~1;no PCA;Week;Day;Day;16042,7309792784
Jordan;0,4;0;100;10~1;no PCA;Week;Day;Day;16709,8992750028
Elman;0,4;0;100;10~1;no PCA;Week;Day;Day;16756,766478609
MLP;0,6;0;100;10~1;no PCA;Week;Day;Day;11864,9340862713
Jordan;0,6;0;100;10~1;no PCA;Week;Day;Day;11774,5193251208
Elman;0,6;0;100;10~1;no PCA;Week;Day;Day;10007,5237045763
MLP;0,8;0;100;10~1;no PCA;Week;Day;Day;8689,40942247301
Jordan;0,8;0;100;10~1;no PCA;Week;Day;Day;7955,81161004049
Elman;0,8;0;100;10~1;no PCA;Week;Day;Day;7190,81390423233
MLP;1;0;100;10~1;no PCA;Week;Day;Day;6069,86096076374
Jordan;1;0;100;10~1;no PCA;Week;Day;Day;5392,78788680908
Elman;1;0;100;10~1;no PCA;Week;Day;Day;6037,29295768561
MLP;0;0,2;100;10~1;no PCA;Week;Day;Day;1159432,0215879
Jordan;0;0,2;100;10~1;no PCA;Week;Day;Day;1216212,82744942
Elman;0;0,2;100;10~1;no PCA;Week;Day;Day;1725235,4403092
MLP;0,2;0,2;100;10~1;no PCA;Week;Day;Day;13050,3330800375
Jordan;0,2;0,2;100;10~1;no PCA;Week;Day;Day;13173,1384736659
Elman;0,2;0,2;100;10~1;no PCA;Week;Day;Day;12521,9199351691
MLP;0,4;0,2;100;10~1;no PCA;Week;Day;Day;9733,8412941571
Jordan;0,4;0,2;100;10~1;no PCA;Week;Day;Day;9868,97736015354
Elman;0,4;0,2;100;10~1;no PCA;Week;Day;Day;8814,14006582365
MLP;0,6;0,2;100;10~1;no PCA;Week;Day;Day;7101,59499553082
Jordan;0,6;0,2;100;10~1;no PCA;Week;Day;Day;7616,36341176112
Elman;0,6;0,2;100;10~1;no PCA;Week;Day;Day;8154,10442049725
MLP;0,8;0,2;100;10~1;no PCA;Week;Day;Day;5622,13248227906
Jordan;0,8;0,2;100;10~1;no PCA;Week;Day;Day;7005,18408914285
Elman;0,8;0,2;100;10~1;no PCA;Week;Day;Day;6034,63297867553
MLP;1;0,2;100;10~1;no PCA;Week;Day;Day;5087,24627610179
Jordan;1;0,2;100;10~1;no PCA;Week;Day;Day;5323,92160940176
Elman;1;0,2;100;10~1;no PCA;Week;Day;Day;4680,43533912064
MLP;0;0,4;100;10~1;no PCA;Week;Day;Day;478272,251381606
Jordan;0;0,4;100;10~1;no PCA;Week;Day;Day;910208,247770742
Elman;0;0,4;100;10~1;no PCA;Week;Day;Day;1020848,05920184
MLP;0,2;0,4;100;10~1;no PCA;Week;Day;Day;10495,2306139478
Jordan;0,2;0,4;100;10~1;no PCA;Week;Day;Day;10750,675157101
Elman;0,2;0,4;100;10~1;no PCA;Week;Day;Day;10189,8809385639
MLP;0,4;0,4;100;10~1;no PCA;Week;Day;Day;9610,15100125456
Jordan;0,4;0,4;100;10~1;no PCA;Week;Day;Day;10366,9784053177
Elman;0,4;0,4;100;10~1;no PCA;Week;Day;Day;10752,9544439429
MLP;0,6;0,4;100;10~1;no PCA;Week;Day;Day;10401,6269523402
Jordan;0,6;0,4;100;10~1;no PCA;Week;Day;Day;12219,12957247
Elman;0,6;0,4;100;10~1;no PCA;Week;Day;Day;9752,93340511768
MLP;0,8;0,4;100;10~1;no PCA;Week;Day;Day;8534,99080385202
Jordan;0,8;0,4;100;10~1;no PCA;Week;Day;Day;9078,67989370303
Elman;0,8;0,4;100;10~1;no PCA;Week;Day;Day;8344,1729948051
MLP;1;0,4;100;10~1;no PCA;Week;Day;Day;7838,47958082468
Jordan;1;0,4;100;10~1;no PCA;Week;Day;Day;8231,77034086116
Elman;1;0,4;100;10~1;no PCA;Week;Day;Day;13301,0128520206
MLP;0;0,6;100;10~1;no PCA;Week;Day;Day;2107082,88948014
Jordan;0;0,6;100;10~1;no PCA;Week;Day;Day;1919515,261938
Elman;0;0,6;100;10~1;no PCA;Week;Day;Day;2723219,43373011
MLP;0,2;0,6;100;10~1;no PCA;Week;Day;Day;12354,9540856482
Jordan;0,2;0,6;100;10~1;no PCA;Week;Day;Day;22565,5922145179
Elman;0,2;0,6;100;10~1;no PCA;Week;Day;Day;13199,6675114358
MLP;0,4;0,6;100;10~1;no PCA;Week;Day;Day;17529,9695064753
Jordan;0,4;0,6;100;10~1;no PCA;Week;Day;Day;10964,0626843629
Elman;0,4;0,6;100;10~1;no PCA;Week;Day;Day;23274,0585075509
MLP;0,6;0,6;100;10~1;no PCA;Week;Day;Day;16814,5178984885
Jordan;0,6;0,6;100;10~1;no PCA;Week;Day;Day;14453,6193094435
Elman;0,6;0,6;100;10~1;no PCA;Week;Day;Day;11572,4165307162
MLP;0,8;0,6;100;10~1;no PCA;Week;Day;Day;9767,54605025973
Jordan;0,8;0,6;100;10~1;no PCA;Week;Day;Day;11168,136935869
Elman;0,8;0,6;100;10~1;no PCA;Week;Day;Day;16292,2506870057
MLP;1;0,6;100;10~1;no PCA;Week;Day;Day;9746,7691707483
Jordan;1;0,6;100;10~1;no PCA;Week;Day;Day;9537,63931693472
Elman;1;0,6;100;10~1;no PCA;Week;Day;Day;24489,720721722
MLP;0;0,8;100;10~1;no PCA;Week;Day;Day;3195950,38889207
Jordan;0;0,8;100;10~1;no PCA;Week;Day;Day;3268149,38673196
Elman;0;0,8;100;10~1;no PCA;Week;Day;Day;3518627,15420632
MLP;0,2;0,8;100;10~1;no PCA;Week;Day;Day;14292,6354953898
Jordan;0,2;0,8;100;10~1;no PCA;Week;Day;Day;16502,992232332
Elman;0,2;0,8;100;10~1;no PCA;Week;Day;Day;17625,445935688
MLP;0,4;0,8;100;10~1;no PCA;Week;Day;Day;20589,0955340224
Jordan;0,4;0,8;100;10~1;no PCA;Week;Day;Day;14352,8421548915
Elman;0,4;0,8;100;10~1;no PCA;Week;Day;Day;15480,5918087299
MLP;0,6;0,8;100;10~1;no PCA;Week;Day;Day;13807,6463464611
Jordan;0,6;0,8;100;10~1;no PCA;Week;Day;Day;13911,8539688201
Elman;0,6;0,8;100;10~1;no PCA;Week;Day;Day;14093,591191754
MLP;0,8;0,8;100;10~1;no PCA;Week;Day;Day;14366,009282969
Jordan;0,8;0,8;100;10~1;no PCA;Week;Day;Day;13571,1853503133
Elman;0,8;0,8;100;10~1;no PCA;Week;Day;Day;11882,6307818833
MLP;1;0,8;100;10~1;no PCA;Week;Day;Day;14212,4105935114
Jordan;1;0,8;100;10~1;no PCA;Week;Day;Day;11695,1981307763
Elman;1;0,8;100;10~1;no PCA;Week;Day;Day;17186,6483596925
MLP;0;1;100;10~1;no PCA;Week;Day;Day;3062424,34188772
Jordan;0;1;100;10~1;no PCA;Week;Day;Day;3156516,08722239
Elman;0;1;100;10~1;no PCA;Week;Day;Day;3733891,46865473
MLP;0,2;1;100;10~1;no PCA;Week;Day;Day;15617,9133837396
Jordan;0,2;1;100;10~1;no PCA;Week;Day;Day;14578,2822437671
Elman;0,2;1;100;10~1;no PCA;Week;Day;Day;16285,5006210226
MLP;0,4;1;100;10~1;no PCA;Week;Day;Day;15450,4201067849
Jordan;0,4;1;100;10~1;no PCA;Week;Day;Day;16463,9734899531
Elman;0,4;1;100;10~1;no PCA;Week;Day;Day;15727,0225808085
MLP;0,6;1;100;10~1;no PCA;Week;Day;Day;16734,8077100978
Jordan;0,6;1;100;10~1;no PCA;Week;Day;Day;15048,5029134937
Elman;0,6;1;100;10~1;no PCA;Week;Day;Day;16779,5881548549
MLP;0,8;1;100;10~1;no PCA;Week;Day;Day;14388,0214002509
Jordan;0,8;1;100;10~1;no PCA;Week;Day;Day;16384,4478622954
Elman;0,8;1;100;10~1;no PCA;Week;Day;Day;18539,8049865765
MLP;1;1;100;10~1;no PCA;Week;Day;Day;13708,5357893169
Jordan;1;1;100;10~1;no PCA;Week;Day;Day;14866,4947229021
Elman;1;1;100;10~1;no PCA;Week;Day;Day;14532,1557241988
MLP;0;0;500;10~1;no PCA;Week;Day;Day;1851050,28297664
Jordan;0;0;500;10~1;no PCA;Week;Day;Day;3570385,05488435
Elman;0;0;500;10~1;no PCA;Week;Day;Day;1349284,3790657
MLP;0,2;0;500;10~1;no PCA;Week;Day;Day;5347,83164196823
Jordan;0,2;0;500;10~1;no PCA;Week;Day;Day;5982,17195701703
Elman;0,2;0;500;10~1;no PCA;Week;Day;Day;5513,42590341121
MLP;0,4;0;500;10~1;no PCA;Week;Day;Day;3066,25803304698
Jordan;0,4;0;500;10~1;no PCA;Week;Day;Day;3318,01748691034
Elman;0,4;0;500;10~1;no PCA;Week;Day;Day;3194,89456067924
MLP;0,6;0;500;10~1;no PCA;Week;Day;Day;2803,2209883682
Jordan;0,6;0;500;10~1;no PCA;Week;Day;Day;2865,76461178424
Elman;0,6;0;500;10~1;no PCA;Week;Day;Day;2985,58524524997
MLP;0,8;0;500;10~1;no PCA;Week;Day;Day;2581,24431132547
Jordan;0,8;0;500;10~1;no PCA;Week;Day;Day;2680,73899975246
Elman;0,8;0;500;10~1;no PCA;Week;Day;Day;2737,1385572973
MLP;1;0;500;10~1;no PCA;Week;Day;Day;2432,01054578824
Jordan;1;0;500;10~1;no PCA;Week;Day;Day;2735,66806575255
Elman;1;0;500;10~1;no PCA;Week;Day;Day;2720,05461313227
MLP;0;0,2;500;10~1;no PCA;Week;Day;Day;980241,179892027
Jordan;0;0,2;500;10~1;no PCA;Week;Day;Day;1153289,37739435
Elman;0;0,2;500;10~1;no PCA;Week;Day;Day;1653691,72272984
MLP;0,2;0,2;500;10~1;no PCA;Week;Day;Day;4627,57069155874
Jordan;0,2;0,2;500;10~1;no PCA;Week;Day;Day;4559,94554681991
Elman;0,2;0,2;500;10~1;no PCA;Week;Day;Day;4101,1704749955
MLP;0,4;0,2;500;10~1;no PCA;Week;Day;Day;3579,81906322851
Jordan;0,4;0,2;500;10~1;no PCA;Week;Day;Day;3552,97916282738
Elman;0,4;0,2;500;10~1;no PCA;Week;Day;Day;3988,07938823013
MLP;0,6;0,2;500;10~1;no PCA;Week;Day;Day;3235,40797166561
Jordan;0,6;0,2;500;10~1;no PCA;Week;Day;Day;3355,24802221502
Elman;0,6;0,2;500;10~1;no PCA;Week;Day;Day;3551,79554933105
MLP;0,8;0,2;500;10~1;no PCA;Week;Day;Day;3183,22261310929
Jordan;0,8;0,2;500;10~1;no PCA;Week;Day;Day;3204,60117750503
Elman;0,8;0,2;500;10~1;no PCA;Week;Day;Day;3220,22485085581
MLP;1;0,2;500;10~1;no PCA;Week;Day;Day;2864,39103165874
Jordan;1;0,2;500;10~1;no PCA;Week;Day;Day;2965,42530688318
Elman;1;0,2;500;10~1;no PCA;Week;Day;Day;3052,81522094143
MLP;0;0,4;500;10~1;no PCA;Week;Day;Day;644931,454477674
Jordan;0;0,4;500;10~1;no PCA;Week;Day;Day;655705,972197509
Elman;0;0,4;500;10~1;no PCA;Week;Day;Day;1514568,22567847
MLP;0,2;0,4;500;10~1;no PCA;Week;Day;Day;8790,62934776819
Jordan;0,2;0,4;500;10~1;no PCA;Week;Day;Day;11954,6363814765
Elman;0,2;0,4;500;10~1;no PCA;Week;Day;Day;11687,4718920959
MLP;0,4;0,4;500;10~1;no PCA;Week;Day;Day;6414,26999320969
Jordan;0,4;0,4;500;10~1;no PCA;Week;Day;Day;6625,16453342854
Elman;0,4;0,4;500;10~1;no PCA;Week;Day;Day;7252,87625239746
MLP;0,6;0,4;500;10~1;no PCA;Week;Day;Day;5679,03426635148
Jordan;0,6;0,4;500;10~1;no PCA;Week;Day;Day;5443,82320046752
Elman;0,6;0,4;500;10~1;no PCA;Week;Day;Day;5939,95800875036
MLP;0,8;0,4;500;10~1;no PCA;Week;Day;Day;4382,47812563766
Jordan;0,8;0,4;500;10~1;no PCA;Week;Day;Day;5075,37897694289
Elman;0,8;0,4;500;10~1;no PCA;Week;Day;Day;5130,51047102628
MLP;1;0,4;500;10~1;no PCA;Week;Day;Day;3669,92891710711
Jordan;1;0,4;500;10~1;no PCA;Week;Day;Day;3826,89520930077
Elman;1;0,4;500;10~1;no PCA;Week;Day;Day;3967,85245456147
MLP;0;0,6;500;10~1;no PCA;Week;Day;Day;2128595,53356393
Jordan;0;0,6;500;10~1;no PCA;Week;Day;Day;3286108,95928332
Elman;0;0,6;500;10~1;no PCA;Week;Day;Day;2564558,08814052
MLP;0,2;0,6;500;10~1;no PCA;Week;Day;Day;11998,6209821272
Jordan;0,2;0,6;500;10~1;no PCA;Week;Day;Day;13513,30830966
Elman;0,2;0,6;500;10~1;no PCA;Week;Day;Day;14563,5149561886
MLP;0,4;0,6;500;10~1;no PCA;Week;Day;Day;9000,93027587335
Jordan;0,4;0,6;500;10~1;no PCA;Week;Day;Day;10493,1856011405
Elman;0,4;0,6;500;10~1;no PCA;Week;Day;Day;12449,7807328065
MLP;0,6;0,6;500;10~1;no PCA;Week;Day;Day;6609,63051254082
Jordan;0,6;0,6;500;10~1;no PCA;Week;Day;Day;6435,19223168193
Elman;0,6;0,6;500;10~1;no PCA;Week;Day;Day;7410,33894116732
MLP;0,8;0,6;500;10~1;no PCA;Week;Day;Day;5474,6577621289
Jordan;0,8;0,6;500;10~1;no PCA;Week;Day;Day;6179,03905430044
Elman;0,8;0,6;500;10~1;no PCA;Week;Day;Day;7151,52788556225
MLP;1;0,6;500;10~1;no PCA;Week;Day;Day;5071,95589178716
Jordan;1;0,6;500;10~1;no PCA;Week;Day;Day;5153,8791118644
Elman;1;0,6;500;10~1;no PCA;Week;Day;Day;4670,74399669043
MLP;0;0,8;500;10~1;no PCA;Week;Day;Day;3297480,88296756
Jordan;0;0,8;500;10~1;no PCA;Week;Day;Day;2883429,29874011
Elman;0;0,8;500;10~1;no PCA;Week;Day;Day;2676200,86338201
MLP;0,2;0,8;500;10~1;no PCA;Week;Day;Day;14428,2477369808
Jordan;0,2;0,8;500;10~1;no PCA;Week;Day;Day;15359,4021623818
Elman;0,2;0,8;500;10~1;no PCA;Week;Day;Day;16492,7506738891
MLP;0,4;0,8;500;10~1;no PCA;Week;Day;Day;14334,0256738056
Jordan;0,4;0,8;500;10~1;no PCA;Week;Day;Day;11776,804010126
Elman;0,4;0,8;500;10~1;no PCA;Week;Day;Day;12021,3297887575
MLP;0,6;0,8;500;10~1;no PCA;Week;Day;Day;10370,624250202
Jordan;0,6;0,8;500;10~1;no PCA;Week;Day;Day;10529,1511508321
Elman;0,6;0,8;500;10~1;no PCA;Week;Day;Day;11632,8534287392
MLP;0,8;0,8;500;10~1;no PCA;Week;Day;Day;8639,70399403958
Jordan;0,8;0,8;500;10~1;no PCA;Week;Day;Day;7591,97326468672
Elman;0,8;0,8;500;10~1;no PCA;Week;Day;Day;8577,16962443112
MLP;1;0,8;500;10~1;no PCA;Week;Day;Day;7231,23231779639
Jordan;1;0,8;500;10~1;no PCA;Week;Day;Day;7969,97653033756
Elman;1;0,8;500;10~1;no PCA;Week;Day;Day;6296,12930966078
MLP;0;1;500;10~1;no PCA;Week;Day;Day;3614900,19544725
Jordan;0;1;500;10~1;no PCA;Week;Day;Day;3289210,44711457
Elman;0;1;500;10~1;no PCA;Week;Day;Day;3006241,64843719
MLP;0,2;1;500;10~1;no PCA;Week;Day;Day;16764,6938430522
Jordan;0,2;1;500;10~1;no PCA;Week;Day;Day;16762,7512047524
Elman;0,2;1;500;10~1;no PCA;Week;Day;Day;18038,8974407204
MLP;0,4;1;500;10~1;no PCA;Week;Day;Day;12893,7016537079
Jordan;0,4;1;500;10~1;no PCA;Week;Day;Day;12364,4283891788
Elman;0,4;1;500;10~1;no PCA;Week;Day;Day;13874,2349047005
MLP;0,6;1;500;10~1;no PCA;Week;Day;Day;10925,5407606312
Jordan;0,6;1;500;10~1;no PCA;Week;Day;Day;10422,7157704112
Elman;0,6;1;500;10~1;no PCA;Week;Day;Day;11406,7989595478
MLP;0,8;1;500;10~1;no PCA;Week;Day;Day;8829,50036050026
Jordan;0,8;1;500;10~1;no PCA;Week;Day;Day;10305,4407765427
Elman;0,8;1;500;10~1;no PCA;Week;Day;Day;10110,2875276009
MLP;1;1;500;10~1;no PCA;Week;Day;Day;9148,15338906803
Jordan;1;1;500;10~1;no PCA;Week;Day;Day;9480,4721346026
Elman;1;1;500;10~1;no PCA;Week;Day;Day;10452,704156992
MLP;0;0;1000;10~1;no PCA;Week;Day;Day;2327657,88334396
Jordan;0;0;1000;10~1;no PCA;Week;Day;Day;1976771,40770807
Elman;0;0;1000;10~1;no PCA;Week;Day;Day;1020534,84681756
MLP;0,2;0;1000;10~1;no PCA;Week;Day;Day;2936,85981587738
Jordan;0,2;0;1000;10~1;no PCA;Week;Day;Day;2942,09670354333
Elman;0,2;0;1000;10~1;no PCA;Week;Day;Day;2932,14012310381
