User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-14 21:11:32
CalculationTime:;00:03:21
TestCasesNumber:;1
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0;0;100;2~1;no PCA;Week;Day;Day;3257040,7687523;0,503674280039722;0,502681231380338;0,451612903225806
Jordan;0;0;100;2~1;no PCA;Week;Day;Day;917694,750156503;0,495928500496524;0,502681231380338;0,451612903225806
Elman;0;0;100;2~1;no PCA;Week;Day;Day;810249,24098338;0,495928500496524;0,502681231380338;0,451612903225806
MLP;0,2;0;100;2~1;no PCA;Week;Day;Day;24545,5832716857;0,494141012909633;0,502681231380338;0,580645161290323
Jordan;0,2;0;100;2~1;no PCA;Week;Day;Day;31146,5244828562;0,494339622641509;0,502681231380338;0,548387096774194
Elman;0,2;0;100;2~1;no PCA;Week;Day;Day;28165,3183678087;0,494141012909633;0,502681231380338;0,580645161290323
MLP;0,4;0;100;2~1;no PCA;Week;Day;Day;21492,7236635073;0,494736842105263;0,502681231380338;0,580645161290323
Jordan;0,4;0;100;2~1;no PCA;Week;Day;Day;15348,2380920597;0,494339622641509;0,502681231380338;0,612903225806452
Elman;0,4;0;100;2~1;no PCA;Week;Day;Day;28111,562694377;0,494736842105263;0,502681231380338;0,548387096774194
MLP;0,6;0;100;2~1;no PCA;Week;Day;Day;10449,4748203779;0,494736842105263;0,502681231380338;0,612903225806452
Jordan;0,6;0;100;2~1;no PCA;Week;Day;Day;23107,0788601495;0,49493545183714;0,502681231380338;0,548387096774194
Elman;0,6;0;100;2~1;no PCA;Week;Day;Day;22516,0034672767;0,494538232373386;0,502681231380338;0,580645161290323
MLP;0,8;0;100;2~1;no PCA;Week;Day;Day;28048,9984434248;0,493942403177756;0,502681231380338;0,548387096774194
Jordan;0,8;0;100;2~1;no PCA;Week;Day;Day;24394,7512850428;0,494339622641509;0,502681231380338;0,548387096774194
Elman;0,8;0;100;2~1;no PCA;Week;Day;Day;11558,7540654879;0,494538232373386;0,502681231380338;0,612903225806452
MLP;1;0;100;2~1;no PCA;Week;Day;Day;21677,2596417053;0,494141012909633;0,502681231380338;0,516129032258065
Jordan;1;0;100;2~1;no PCA;Week;Day;Day;13450,2256420921;0,495531281032771;0,502681231380338;0,516129032258065
Elman;1;0;100;2~1;no PCA;Week;Day;Day;11946,3310211855;0,495928500496524;0,502681231380338;0,580645161290323
MLP;0;0,2;100;2~1;no PCA;Week;Day;Day;1490657,23180348;0,495729890764647;0,502681231380338;0,451612903225806
Jordan;0;0,2;100;2~1;no PCA;Week;Day;Day;2114867,16465229;0,509433962264151;0,502681231380338;0,451612903225806
