User:;Maciej
IndexName:;WIG20withMacro
StartDate:;2015-01-14 23:41:22
CalculationTime:;04:44:19
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;0;40000;30~1;no PCA;Day;Day;Day;2582,82447012056;0,497916253224846;0,503076007144275;0,806451612903226
Jordan;0,25;0;40000;30~1;no PCA;Day;Day;Day;2496,96699297413;0,497916253224846;0,503076007144275;0,806451612903226
Elman;0,25;0;40000;30~1;no PCA;Day;Day;Day;1669,77826963429;0,497717801151022;0,503076007144275;0,741935483870968
MLP;0,5;0;40000;30~1;no PCA;Day;Day;Day;1728,5663586449;0,497717801151022;0,503076007144275;0,838709677419355
Jordan;0,5;0;40000;30~1;no PCA;Day;Day;Day;1695,96591621605;0,500099226036912;0,503076007144275;0,774193548387097
Elman;0,5;0;40000;30~1;no PCA;Day;Day;Day;997,884911748853;0,498313157372495;0,503076007144275;0,838709677419355
MLP;0,75;0;40000;30~1;no PCA;Day;Day;Day;1080,69649667278;0,498511609446319;0,503076007144275;0,806451612903226
Jordan;0,75;0;40000;30~1;no PCA;Day;Day;Day;1220,74699110462;0,497916253224846;0,503076007144275;0,806451612903226
Elman;0,75;0;40000;30~1;no PCA;Day;Day;Day;781,24600078978;0,494741020043659;0,503076007144275;0,870967741935484
MLP;1;0;40000;30~1;no PCA;Day;Day;Day;965,813151059806;0,497717801151022;0,503076007144275;0,806451612903226
Jordan;1;0;40000;30~1;no PCA;Day;Day;Day;959,175073496934;0,497320897003374;0,503076007144275;0,838709677419355
Elman;1;0;40000;30~1;no PCA;Day;Day;Day;736,977776883458;0,49573328041278;0,503076007144275;0,870967741935484
MLP;0,25;0,25;40000;30~1;no PCA;Day;Day;Day;2365,74514386927;0,498313157372495;0,503076007144275;0,709677419354839
Jordan;0,25;0,25;40000;30~1;no PCA;Day;Day;Day;2331,17192408897;0,498511609446319;0,503076007144275;0,709677419354839
Elman;0,25;0,25;40000;30~1;no PCA;Day;Day;Day;2165,8792462399;0,498710061520143;0,503076007144275;0,741935483870968
MLP;0,5;0,25;40000;30~1;no PCA;Day;Day;Day;1693,09438238781;0,498313157372495;0,503076007144275;0,741935483870968
Jordan;0,5;0,25;40000;30~1;no PCA;Day;Day;Day;1752,13613979046;0,49811470529867;0,503076007144275;0,741935483870968
Elman;0,5;0,25;40000;30~1;no PCA;Day;Day;Day;1433,846558751;0,500297678110736;0,503076007144275;0,741935483870968
MLP;0,75;0,25;40000;30~1;no PCA;Day;Day;Day;1491,53393064196;0,496130184560429;0,503076007144275;0,774193548387097
Jordan;0,75;0,25;40000;30~1;no PCA;Day;Day;Day;1448,80063544018;0,497717801151022;0,503076007144275;0,741935483870968
Elman;0,75;0,25;40000;30~1;no PCA;Day;Day;Day;1103,80896501669;0,499305417741615;0,503076007144275;0,806451612903226
MLP;1;0,25;40000;30~1;no PCA;Day;Day;Day;1190,5868718545;0,497717801151022;0,503076007144275;0,838709677419355
Jordan;1;0,25;40000;30~1;no PCA;Day;Day;Day;1258,98592604949;0,497717801151022;0,503076007144275;0,774193548387097
Elman;1;0,25;40000;30~1;no PCA;Day;Day;Day;964,534888434222;0,497916253224846;0,503076007144275;0,774193548387097
MLP;0,25;0,5;40000;30~1;no PCA;Day;Day;Day;2406,68869199165;0,497519349077198;0,503076007144275;0,67741935483871
Jordan;0,25;0,5;40000;30~1;no PCA;Day;Day;Day;2285,80510719738;0,499305417741615;0,503076007144275;0,709677419354839
Elman;0,25;0,5;40000;30~1;no PCA;Day;Day;Day;2205,58605642078;0,499900773963088;0,503076007144275;0,709677419354839
MLP;0,5;0,5;40000;30~1;no PCA;Day;Day;Day;1900,77105441802;0,499305417741615;0,503076007144275;0,67741935483871
Jordan;0,5;0,5;40000;30~1;no PCA;Day;Day;Day;1989,92444703881;0,498908513593967;0,503076007144275;0,741935483870968
Elman;0,5;0,5;40000;30~1;no PCA;Day;Day;Day;2067,04927903247;0,499305417741615;0,503076007144275;0,67741935483871
MLP;0,75;0,5;40000;30~1;no PCA;Day;Day;Day;1523,62311484091;0,49950386981544;0,503076007144275;0,741935483870968
Jordan;0,75;0,5;40000;30~1;no PCA;Day;Day;Day;1530,36784352548;0,496923992855725;0,503076007144275;0,709677419354839
Elman;0,75;0,5;40000;30~1;no PCA;Day;Day;Day;1352,81427706991;0,498908513593967;0,503076007144275;0,774193548387097
MLP;1;0,5;40000;30~1;no PCA;Day;Day;Day;1515,32991457827;0,49950386981544;0,503076007144275;0,838709677419355
Jordan;1;0,5;40000;30~1;no PCA;Day;Day;Day;1676,78674195958;0,49573328041278;0,503076007144275;0,67741935483871
Elman;1;0,5;40000;30~1;no PCA;Day;Day;Day;1408,73942109698;0,501091486406033;0,503076007144275;0,774193548387097
MLP;0,25;0,75;40000;30~1;no PCA;Day;Day;Day;2456,8399888919;0,500893034332209;0,503076007144275;0,741935483870968
Jordan;0,25;0,75;40000;30~1;no PCA;Day;Day;Day;2542,84280141926;0,500297678110736;0,503076007144275;0,774193548387097
Elman;0,25;0,75;40000;30~1;no PCA;Day;Day;Day;2190,62933434499;0,49950386981544;0,503076007144275;0,67741935483871
MLP;0,5;0,75;40000;30~1;no PCA;Day;Day;Day;2162,10943914206;0,501091486406033;0,503076007144275;0,67741935483871
Jordan;0,5;0,75;40000;30~1;no PCA;Day;Day;Day;2124,81867408051;0,499106965667791;0,503076007144275;0,67741935483871
Elman;0,5;0,75;40000;30~1;no PCA;Day;Day;Day;1615,78291375596;0,501091486406033;0,503076007144275;0,67741935483871
MLP;0,75;0,75;40000;30~1;no PCA;Day;Day;Day;1879,9476969497;0,498511609446319;0,503076007144275;0,774193548387097
Jordan;0,75;0,75;40000;30~1;no PCA;Day;Day;Day;1972,9221016547;0,498710061520143;0,503076007144275;0,709677419354839
Elman;0,75;0,75;40000;30~1;no PCA;Day;Day;Day;1593,956611682;0,499305417741615;0,503076007144275;0,67741935483871
MLP;1;0,75;40000;30~1;no PCA;Day;Day;Day;1643,51060371751;0,499305417741615;0,503076007144275;0,709677419354839
Jordan;1;0,75;40000;30~1;no PCA;Day;Day;Day;1980,86210922122;0,499702321889264;0,503076007144275;0,741935483870968
Elman;1;0,75;40000;30~1;no PCA;Day;Day;Day;1458,81884120919;0,499106965667791;0,503076007144275;0,838709677419355
MLP;0,25;0;40000;5~1;no PCA;Day;Day;Day;2218,06519350486;0,501091486406033;0,503076007144275;0,806451612903226
Jordan;0,25;0;40000;5~1;no PCA;Day;Day;Day;2148,41604069858;0,499305417741615;0,503076007144275;0,806451612903226
