User:;komputer
IndexName:;Wig20ClosingAndVolumeOnly
StartDate:;2015-01-17 10:49:17
CalculationTime:;03:33:28
TestCasesNumber:;5
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,8;0,1;100;30~30~1;no PCA;Week;Day;Day;1158,0097810948;0,5;0;1;0,5;0,518105849582173
Jordan;0,8;0,1;100;30~30~1;no PCA;Week;Day;Day;1172,6938638116;0,5;0;1;0,5;0,51949860724234
Elman;0,8;0,1;100;30~30~1;no PCA;Week;Day;Day;1239,60925279911;0,508720930232558;0,0406976744186047;0,976744186046512;0,5;0,51949860724234
MLP;0,8;0,1;500;30~30~1;no PCA;Week;Day;Day;1053,96995288581;0,5;0;1;0,5;0,527855153203343
Jordan;0,8;0,1;500;30~30~1;no PCA;Week;Day;Day;1051,39779804804;0,5;0;1;0,5;0,527855153203343
Elman;0,8;0,1;500;30~30~1;no PCA;Week;Day;Day;1091,67363285212;0,505813953488372;0,0174418604651163;0,994186046511628;0,5;0,51949860724234
MLP;0,8;0,1;1000;30~30~1;no PCA;Week;Day;Day;1015,58366029327;0,5;0;1;0,5;0,526462395543176
Jordan;0,8;0,1;1000;30~30~1;no PCA;Week;Day;Day;1017,85625438981;0,5;0;1;0,5;0,523676880222841
Elman;0,8;0,1;1000;30~30~1;no PCA;Week;Day;Day;1040,4002186637;0,572674418604651;0,622093023255814;0,523255813953488;0,5;0,526462395543176
MLP;0,8;0,1;5000;30~30~1;no PCA;Week;Day;Day;928,104835345503;0,558139534883721;0,86046511627907;0,255813953488372;0,5;0,525069637883008
Jordan;0,8;0,1;5000;30~30~1;no PCA;Week;Day;Day;927,535662446656;0,595930232558139;0,715116279069767;0,476744186046512;0,5;0,536211699164345
Elman;0,8;0,1;5000;30~30~1;no PCA;Week;Day;Day;885,263662660521;0,616279069767442;0,773255813953488;0,459302325581395;0,5;0,52924791086351
MLP;0,8;0,1;100;10~10~1;no PCA;Week;Day;Day;1166,46857726577;0,5;0;1;0,5;0,523676880222841
Jordan;0,8;0,1;100;10~10~1;no PCA;Week;Day;Day;1154,9240760972;0,508720930232558;0,0232558139534884;0,994186046511628;0,5;0,522284122562674
Elman;0,8;0,1;100;10~10~1;no PCA;Week;Day;Day;1257,83046436397;0,508720930232558;0,0232558139534884;0,994186046511628;0,5;0,50974930362117
MLP;0,8;0,1;500;10~10~1;no PCA;Week;Day;Day;1060,04475578983;0,5;0;1;0,5;0,523676880222841
Jordan;0,8;0,1;500;10~10~1;no PCA;Week;Day;Day;1061,51620721697;0,5;0;1;0,5;0,530640668523677
Elman;0,8;0,1;500;10~10~1;no PCA;Week;Day;Day;1061,99887061025;0,502906976744186;0,00581395348837209;1;0,5;0,513927576601671
MLP;0,8;0,1;1000;10~10~1;no PCA;Week;Day;Day;1005,65402314439;0,497093023255814;0;0,994186046511628;0,5;0,518105849582173
Jordan;0,8;0,1;1000;10~10~1;no PCA;Week;Day;Day;1011,58594986952;0,48546511627907;0,00581395348837209;0,965116279069767;0,5;0,520891364902507
Elman;0,8;0,1;1000;10~10~1;no PCA;Week;Day;Day;1020,75970594714;0,529069767441861;0,151162790697674;0,906976744186046;0,5;0,52924791086351
MLP;0,8;0,1;5000;10~10~1;no PCA;Week;Day;Day;938,111088928917;0,497093023255814;0;0,994186046511628;0,5;0,523676880222841
Jordan;0,8;0,1;5000;10~10~1;no PCA;Week;Day;Day;916,287470094215;0,593023255813954;0,802325581395349;0,383720930232558;0,5;0,532033426183844
Elman;0,8;0,1;5000;10~10~1;no PCA;Week;Day;Day;880,135881021206;0,531976744186046;0,947674418604651;0,116279069767442;0,5;0,547353760445682
MLP;0,8;0,1;100;1~1;no PCA;Week;Day;Day;1159,1112126469;0,5;0;1;0,5;0,505571030640669
Jordan;0,8;0,1;100;1~1;no PCA;Week;Day;Day;1153,15689797717;0,5;0;1;0,5;0,515320334261838
Elman;0,8;0,1;100;1~1;no PCA;Week;Day;Day;1158,88675549451;0,5;0;1;0,5;0,516713091922006
MLP;0,8;0,1;500;1~1;no PCA;Week;Day;Day;1158,67214880664;0,5;0;1;0,5;0,51949860724234
Jordan;0,8;0,1;500;1~1;no PCA;Week;Day;Day;1154,0624463844;0,5;0;1;0,5;0,516713091922006
Elman;0,8;0,1;500;1~1;no PCA;Week;Day;Day;1165,87712625649;0,5;0;1;0,5;0,518105849582173
MLP;0,8;0,1;1000;1~1;no PCA;Week;Day;Day;1158,21249112056;0,5;0;1;0,5;0,518105849582173
