User:;komputer
IndexName:;WIG20Matkil
StartDate:;2015-01-27 15:19:33
CalculationTime:;05:44:32
TestCasesNumber:;3
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,5;0;1000;30~30~1;no PCA;Day;Day;Day;894,323394862156;0,534516765285996;0,670634920634921;0,4;0,502958579881657;0,598205854579792
Jordan;0,5;0;1000;30~30~1;no PCA;Day;Day;Day;890,049684712832;0,54043392504931;0,896825396825397;0,188235294117647;0,502958579881657;0,592067988668555
Elman;0,5;0;1000;30~30~1;no PCA;Day;Day;Day;911,160864193375;0,535502958579882;0,742063492063492;0,331372549019608;0,502958579881657;0,597261567516525
MLP;0,75;0;1000;30~30~1;no PCA;Day;Day;Day;888,775631753903;0,547337278106509;0,521825396825397;0,572549019607843;0,502958579881657;0,590179414542021
Jordan;0,75;0;1000;30~30~1;no PCA;Day;Day;Day;884,480476940931;0,555226824457594;0,831349206349206;0,282352941176471;0,502958579881657;0,597261567516525
Elman;0,75;0;1000;30~30~1;no PCA;Day;Day;Day;894,93517329417;0,52465483234714;0,94047619047619;0,113725490196078;0,502958579881657;0,599622285174693
MLP;1;0;1000;30~30~1;no PCA;Day;Day;Day;883,547699430131;0,544378698224852;0,420634920634921;0,666666666666667;0,502958579881657;0,602927289896128
Jordan;1;0;1000;30~30~1;no PCA;Day;Day;Day;874,327081268877;0,557199211045365;0,579365079365079;0,535294117647059;0,502958579881657;0,599622285174693
Elman;1;0;1000;30~30~1;no PCA;Day;Day;Day;880,703798114304;0,522682445759369;0,916666666666667;0,133333333333333;0,502958579881657;0,611898016997167
MLP;0,5;0,25;1000;30~30~1;no PCA;Day;Day;Day;928,485392917934;0,483234714003945;0,10515873015873;0,856862745098039;0,502958579881657;0,570349386213409
Jordan;0,5;0,25;1000;30~30~1;no PCA;Day;Day;Day;900,160673545714;0,470414201183432;0,283730158730159;0,654901960784314;0,502958579881657;0,587346553352219
Elman;0,5;0,25;1000;30~30~1;no PCA;Day;Day;Day;956,509752647912;0,530571992110454;0,648809523809524;0,413725490196078;0,502958579881657;0,584513692162417
MLP;0,75;0,25;1000;30~30~1;no PCA;Day;Day;Day;855,557143029807;0,488165680473373;0,0654761904761905;0,905882352941176;0,502958579881657;0,593012275731822
Jordan;0,75;0,25;1000;30~30~1;no PCA;Day;Day;Day;901,284338982363;0,501972386587771;0,218253968253968;0,782352941176471;0,502958579881657;0,591123701605288
Elman;0,75;0,25;1000;30~30~1;no PCA;Day;Day;Day;853,908918461209;0,527613412228797;0,773809523809524;0,284313725490196;0,502958579881657;0,605288007554297
MLP;1;0,25;1000;30~30~1;no PCA;Day;Day;Day;1051,50879416432;0,494082840236686;0,0793650793650794;0,903921568627451;0,502958579881657;0,589235127478754
Jordan;1;0,25;1000;30~30~1;no PCA;Day;Day;Day;877,160512990279;0,489151873767258;0,176587301587302;0,798039215686274;0,502958579881657;0,602927289896128
Elman;1;0,25;1000;30~30~1;no PCA;Day;Day;Day;870,313449079474;0,54043392504931;0,884920634920635;0,2;0,502958579881657;0,594900849858357
MLP;0,5;0;1000;30~1;no PCA;Day;Day;Day;949,577788918033;0,495069033530572;0,974206349206349;0,0215686274509804;0,502958579881657;0,578847969782814
Jordan;0,5;0;1000;30~1;no PCA;Day;Day;Day;950,479593169924;0,5;0,998015873015873;0,00784313725490196;0,502958579881657;0,582625118035883
Elman;0,5;0;1000;30~1;no PCA;Day;Day;Day;961,408472417427;0,521696252465483;0,946428571428572;0,101960784313726;0,502958579881657;0,587346553352219
MLP;0,75;0;1000;30~1;no PCA;Day;Day;Day;947,904909192497;0,497041420118343;1;0;0,502958579881657;0,571293673276676
Jordan;0,75;0;1000;30~1;no PCA;Day;Day;Day;922,731553316805;0,497041420118343;1;0;0,502958579881657;0,589235127478754
Elman;0,75;0;1000;30~1;no PCA;Day;Day;Day;952,223946173814;0,517751479289941;0,976190476190476;0,0647058823529412;0,502958579881657;0,580264400377715
MLP;1;0;1000;30~1;no PCA;Day;Day;Day;929,491784213163;0,497041420118343;1;0;0,502958579881657;0,586874409820585
Jordan;1;0;1000;30~1;no PCA;Day;Day;Day;939,084160195799;0,497041420118343;1;0;0,502958579881657;0,590179414542021
Elman;1;0;1000;30~1;no PCA;Day;Day;Day;954,287765207075;0,512820512820513;0,988095238095238;0,0431372549019608;0,502958579881657;0,568932955618508
MLP;0,5;0,25;1000;30~1;no PCA;Day;Day;Day;961,568534861641;0,498027613412229;0,990079365079365;0,0117647058823529;0,502958579881657;0,572237960339943
Jordan;0,5;0,25;1000;30~1;no PCA;Day;Day;Day;950,587889155793;0,497041420118343;1;0;0,502958579881657;0,579320113314448
Elman;0,5;0,25;1000;30~1;no PCA;Day;Day;Day;936,003862464641;0,517751479289941;0,948412698412698;0,092156862745098;0,502958579881657;0,592540132200189
MLP;0,75;0,25;1000;30~1;no PCA;Day;Day;Day;964,25508292159;0,497041420118343;1;0;0,502958579881657;0,572710103871577
Jordan;0,75;0,25;1000;30~1;no PCA;Day;Day;Day;951,095800888342;0,498027613412229;1;0,00196078431372549;0,502958579881657;0,57837582625118
Elman;0,75;0,25;1000;30~1;no PCA;Day;Day;Day;978,386261025041;0,504930966469428;0,66468253968254;0,347058823529412;0,502958579881657;0,570821529745042
MLP;1;0,25;1000;30~1;no PCA;Day;Day;Day;939,591483360793;0,497041420118343;1;0;0,502958579881657;0,579320113314448
Jordan;1;0,25;1000;30~1;no PCA;Day;Day;Day;931,283339005759;0,498027613412229;1;0,00196078431372549;0,502958579881657;0,57837582625118
Elman;1;0,25;1000;30~1;no PCA;Day;Day;Day;937,018870193379;0,528599605522682;0,936507936507937;0,125490196078431;0,502958579881657;0,58876298394712
MLP;0,5;0;1000;10~1;no PCA;Day;Day;Day;932,702569269627;0,497041420118343;1;0;0,502958579881657;0,57176581680831
Jordan;0,5;0;1000;10~1;no PCA;Day;Day;Day;937,410831133193;0,50887573964497;0,962301587301587;0,0607843137254902;0,502958579881657;0,56657223796034
Elman;0,5;0;1000;10~1;no PCA;Day;Day;Day;933,972149354851;0,514792899408284;0,942460317460318;0,092156862745098;0,502958579881657;0,565155807365439
MLP;0,75;0;1000;10~1;no PCA;Day;Day;Day;935,913834713193;0,511834319526627;0,888888888888889;0,13921568627451;0,502958579881657;0,580264400377715
Jordan;0,75;0;1000;10~1;no PCA;Day;Day;Day;930,733691394463;0,497041420118343;1;0;0,502958579881657;0,569877242681775
Elman;0,75;0;1000;10~1;no PCA;Day;Day;Day;944,179701671842;0,523668639053254;0,98015873015873;0,0725490196078431;0,502958579881657;0,572237960339943
MLP;1;0;1000;10~1;no PCA;Day;Day;Day;953,440418232847;0,51577909270217;0,869047619047619;0,166666666666667;0,502958579881657;0,572710103871577
Jordan;1;0;1000;10~1;no PCA;Day;Day;Day;941,989036351072;0,500986193293886;0,98015873015873;0,0274509803921569;0,502958579881657;0,579320113314448
Elman;1;0;1000;10~1;no PCA;Day;Day;Day;926,598804662537;0,512820512820513;0,986111111111111;0,0450980392156863;0,502958579881657;0,579320113314448
MLP;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;946,656438766568;0,506903353057199;0,956349206349206;0,0627450980392157;0,502958579881657;0,574598677998111
Jordan;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;938,317553327422;0,503944773175542;0,992063492063492;0,0215686274509804;0,502958579881657;0,57695939565628
Elman;0,5;0,25;1000;10~1;no PCA;Day;Day;Day;913,060580643696;0,519723865877712;0,956349206349206;0,0882352941176471;0,502958579881657;0,586874409820585
MLP;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;933,760814813029;0,506903353057199;0,986111111111111;0,0333333333333333;0,502958579881657;0,576487252124646
Jordan;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;945,756720861521;0,506903353057199;0,982142857142857;0,0372549019607843;0,502958579881657;0,576487252124646
Elman;0,75;0,25;1000;10~1;no PCA;Day;Day;Day;907,602636380571;0,503944773175542;0,986111111111111;0,0274509803921569;0,502958579881657;0,582152974504249
MLP;1;0,25;1000;10~1;no PCA;Day;Day;Day;937,491068811399;0,498027613412229;1;0,00196078431372549;0,502958579881657;0,57837582625118
Jordan;1;0,25;1000;10~1;no PCA;Day;Day;Day;961,041045339583;0,501972386587771;0,998015873015873;0,0117647058823529;0,502958579881657;0,570349386213409
Elman;1;0,25;1000;10~1;no PCA;Day;Day;Day;910,972963700553;0,507889546351085;0,984126984126984;0,0372549019607843;0,502958579881657;0,58876298394712
MLP;0,5;0;1000;10~10~1;no PCA;Day;Day;Day;884,651624515208;0,530571992110454;0,944444444444445;0,12156862745098;0,502958579881657;0,595845136921624
Jordan;0,5;0;1000;10~10~1;no PCA;Day;Day;Day;902,621330857081;0,519723865877712;0,912698412698413;0,131372549019608;0,502958579881657;0,591595845136922
Elman;0,5;0;1000;10~10~1;no PCA;Day;Day;Day;910,72307525909;0,551282051282051;0,85515873015873;0,250980392156863;0,502958579881657;0,603399433427762
MLP;0,75;0;1000;10~10~1;no PCA;Day;Day;Day;896,928216599575;0,529585798816568;0,492063492063492;0,566666666666667;0,502958579881657;0,591123701605288
Jordan;0,75;0;1000;10~10~1;no PCA;Day;Day;Day;909,04312353912;0,538461538461538;0,898809523809524;0,182352941176471;0,502958579881657;0,598205854579792
Elman;0,75;0;1000;10~10~1;no PCA;Day;Day;Day;914,336953542226;0,512820512820513;0,898809523809524;0,131372549019608;0,502958579881657;0,587346553352219
MLP;1;0;1000;10~10~1;no PCA;Day;Day;Day;919,138832372717;0,548323471400395;0,531746031746032;0,564705882352941;0,502958579881657;0,585930122757318
Jordan;1;0;1000;10~10~1;no PCA;Day;Day;Day;919,698594722934;0,520710059171598;0,313492063492063;0,725490196078431;0,502958579881657;0,58876298394712
Elman;1;0;1000;10~10~1;no PCA;Day;Day;Day;880,371568346479;0,532544378698225;0,888888888888889;0,180392156862745;0,502958579881657;0,599622285174693
MLP;0,5;0,25;1000;10~10~1;no PCA;Day;Day;Day;919,011229440246;0,476331360946746;0,398809523809524;0,552941176470588;0,502958579881657;0,580264400377715
Jordan;0,5;0,25;1000;10~10~1;no PCA;Day;Day;Day;953,451009515948;0,483234714003945;0,555555555555555;0,411764705882353;0,502958579881657;0,579320113314448
Elman;0,5;0,25;1000;10~10~1;no PCA;Day;Day;Day;845,269207765926;0,517751479289941;0,940476190476191;0,1;0,502958579881657;0,610009442870633
MLP;0,75;0,25;1000;10~10~1;no PCA;Day;Day;Day;927,385561943492;0,511834319526627;0,492063492063492;0,531372549019608;0,502958579881657;0,594428706326723
Jordan;0,75;0,25;1000;10~10~1;no PCA;Day;Day;Day;1145,54462008831;0,502958579881657;0,64484126984127;0,362745098039216;0,502958579881657;0,581208687440982
Elman;0,75;0,25;1000;10~10~1;no PCA;Day;Day;Day;850,829153927938;0,535502958579882;0,81547619047619;0,258823529411765;0,502958579881657;0,613786591123702
MLP;1;0,25;1000;10~10~1;no PCA;Day;Day;Day;1133,25628253734;0,499013806706114;0,273809523809524;0,72156862745098;0,502958579881657;0,58876298394712
Jordan;1;0,25;1000;10~10~1;no PCA;Day;Day;Day;955,72907552955;0,522682445759369;0,640873015873016;0,405882352941177;0,502958579881657;0,582625118035883
Elman;1;0,25;1000;10~10~1;no PCA;Day;Day;Day;849,290563477633;0,574950690335306;0,696428571428572;0,454901960784314;0,502958579881657;0,604343720491029
MLP;0,5;0;1000;30~30~1;10;Day;Day;Day;1078,8253067245;0,499013806706114;1;0,00392156862745098;0,502958579881657;0,550519357884797
Jordan;0,5;0;1000;30~30~1;10;Day;Day;Day;1087,08948772796;0,497041420118343;1;0;0,502958579881657;0,551463644948064
Elman;0,5;0;1000;30~30~1;10;Day;Day;Day;1183,43856625215;0,546351084812623;0,882936507936508;0,213725490196078;0,502958579881657;0,54957507082153
MLP;0,75;0;1000;30~30~1;10;Day;Day;Day;1020,40841129857;0,500986193293886;1;0,00784313725490196;0,502958579881657;0,555240793201133
Jordan;0,75;0;1000;30~30~1;10;Day;Day;Day;1056,49390547;0,5;0,998015873015873;0,00784313725490196;0,502958579881657;0,551935788479698
Elman;0,75;0;1000;30~30~1;10;Day;Day;Day;1188,84378439088;0,521696252465483;0,583333333333333;0,46078431372549;0,502958579881657;0,546270066100094
MLP;1;0;1000;30~30~1;10;Day;Day;Day;1024,41051426765;0,498027613412229;1;0,00196078431372549;0,502958579881657;0,551935788479698
Jordan;1;0;1000;30~30~1;10;Day;Day;Day;1036,25651861391;0,507889546351085;0,992063492063492;0,0294117647058824;0,502958579881657;0,551463644948064
Elman;1;0;1000;30~30~1;10;Day;Day;Day;1262,76822478144;0,502958579881657;0,00198412698412698;0,998039215686275;0,502958579881657;0,538715769593957
MLP;0,5;0,25;1000;30~30~1;10;Day;Day;Day;1096,73927416065;0,507889546351085;1;0,0215686274509804;0,502958579881657;0,548630783758262
Jordan;0,5;0,25;1000;30~30~1;10;Day;Day;Day;1087,78642819613;0,509861932938856;0,986111111111111;0,0392156862745098;0,502958579881657;0,543437204910293
Elman;0,5;0,25;1000;30~30~1;10;Day;Day;Day;1007,82697767951;0,511834319526627;0,972222222222222;0,0568627450980392;0,502958579881657;0,526912181303116
MLP;0,75;0,25;1000;30~30~1;10;Day;Day;Day;1107,99236239943;0,507889546351085;0,974206349206349;0,0470588235294118;0,502958579881657;0,5561850802644
Jordan;0,75;0,25;1000;30~30~1;10;Day;Day;Day;1036,21218774258;0,50887573964497;0,992063492063492;0,0313725490196078;0,502958579881657;0,567044381491974
Elman;0,75;0,25;1000;30~30~1;10;Day;Day;Day;998,204891513772;0,52465483234714;0,926587301587302;0,127450980392157;0,502958579881657;0,537771482530689
MLP;1;0,25;1000;30~30~1;10;Day;Day;Day;1026,08523360389;0,509861932938856;0,970238095238095;0,0549019607843137;0,502958579881657;0,568932955618508
Jordan;1;0,25;1000;30~30~1;10;Day;Day;Day;1024,7814469879;0,510848126232742;0,964285714285714;0,0627450980392157;0,502958579881657;0,558545797922568
Elman;1;0,25;1000;30~30~1;10;Day;Day;Day;1015,73623778942;0,532544378698225;0,884920634920635;0,184313725490196;0,502958579881657;0,547214353163362
MLP;0,5;0;1000;30~1;10;Day;Day;Day;1298,82352399877;0,497041420118343;1;0;0,502958579881657;0,538715769593957
Jordan;0,5;0;1000;30~1;10;Day;Day;Day;1319,75925410253;0,497041420118343;1;0;0,502958579881657;0,543437204910293
Elman;0,5;0;1000;30~1;10;Day;Day;Day;1351,94121832688;0,503944773175542;0,998015873015873;0,0156862745098039;0,502958579881657;0,555240793201133
MLP;0,75;0;1000;30~1;10;Day;Day;Day;1274,02151126673;0,497041420118343;1;0;0,502958579881657;0,546270066100094
Jordan;0,75;0;1000;30~1;10;Day;Day;Day;1282,19242720631;0,497041420118343;1;0;0,502958579881657;0,543437204910293
Elman;0,75;0;1000;30~1;10;Day;Day;Day;1314,0283587086;0,506903353057199;0,986111111111111;0,0333333333333333;0,502958579881657;0,554296506137866
MLP;1;0;1000;30~1;10;Day;Day;Day;1228,29449413205;0,497041420118343;1;0;0,502958579881657;0,548158640226629
Jordan;1;0;1000;30~1;10;Day;Day;Day;1241,33899194841;0,497041420118343;1;0;0,502958579881657;0,551463644948064
